// IMPORTANT: NOTE THAT ROWS AND COLUMNS **MUST** MATCH eUnitRPS ENUMERATIONS IN ORDERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// ROWS ARE DEFENDERS,,COLUMNS ARE ATTACKERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,Null,Light_Infantry,Heavy_Infantry,Light_Artillery,Anti_Aircraft,Heavy_Artillery,Light_Mounted,Heavy_Mounted,Citizen,Priest,Building,Land_Non_Combat,Ram,HERC,Animal,Close_Air_Support,Air_Superiority,Bomber,Atomic_Bomber,Helicopter,Air_Non_Combat,Submarine,Submarine_Nuclear,War_Galley,Fighting_Sail,Frigate,Galleon,Battleship,Destroyer,Carrier,Transport,Sea_Non_Combat,Coastal_Defense,Building_Combat,Special_Forces
Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Light_Infantry,0,100,100,120,0,50,100,250,100,100,0,0,0,200,100,50,0,50,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Heavy_Infantry,0,150,100,100,0,50,100,100,100,100,0,0,0,200,100,50,0,50,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Light_Artillery,0,100,90,100,0,85,150,100,100,100,0,0,0,200,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,75,100
Anti_Aircraft,0,100,150,100,0,100,200,100,100,100,0,0,0,100,100,200,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Heavy_Artillery,0,200,100,95,0,100,80,80,100,100,0,0,0,200,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,50,50
Light_Mounted,0,100,200,95,0,105,100,100,100,100,0,0,0,200,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Heavy_Mounted,0,25,100,125,0,110,150,100,100,100,0,0,0,200,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Citizen,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Priest,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Building,0,25,100,100,0,200,25,100,100,0,0,0,100,100,0,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Land_Non_Combat,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Ram,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,0,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,50,100
HERC,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,200,200,200,150,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
Animal,0,0,0,0,75,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,45,75,50,100,0,0,0
Close_Air_Support,0,0,0,0,100,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,20,165,100,0,0,0,0,0
Air_Superiority,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,20,100,100,0,0,0,0,0
Bomber,0,0,0,0,100,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,20,100,100,0,0,0,0,0
Atomic_Bomber,0,0,0,0,100,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,20,100,100,0,0,0,0,0
Helicopter,0,0,100,0,100,0,0,0,0,0,0,0,0,0,200,0,200,0,0,100,0,0,0,0,0,0,0,20,100,100,0,0,0,0,0
Air_Non_Combat,0,0,100,0,100,0,0,0,0,0,0,0,0,0,200,0,200,0,0,100,0,0,0,0,0,0,0,20,100,100,0,0,0,0,0
Submarine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,100,100,50,0,100,100,0,0,0,0,35,165,0,0,0,100,0,0
Submarine_Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,100,100,50,0,100,100,0,0,0,0,35,165,0,0,0,100,0,0
War_Galley,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,100,100,100,100,100,100,100,100,0,0,0,100,20,100
Fighting_Sail,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,100,100,100,100,100,175,100,100,0,0,0,100,20,100
Frigate,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,100,100,100,100,100,100,100,100,0,0,0,100,20,100
Galleon,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,100,100,100,100,100,100,100,100,0,0,0,100,20,100
Battleship,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,165,200,100,100,100,100,100,180,0,0,0,100,20,100
Destroyer,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,220,200,100,100,100,100,125,100,0,0,0,100,20,100
Carrier,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,300,50,100,100,50,0,220,100,100,100,100,100,100,100,0,0,0,100,20,100
Transport,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,100,100,100,100,100,100,100,100,0,0,0,100,10,100
Sea_Non_Combat,0,75,75,75,0,75,75,75,0,0,0,0,0,100,100,200,50,100,100,50,0,200,200,200,200,200,200,200,200,0,0,0,100,20,100
Coastal_Defense,0,100,100,100,0,100,100,100,100,0,0,0,100,100,100,100,50,200,200,100,0,0,100,75,75,75,75,75,0,0,0,0,0,100,100
Building_Combat,0,100,100,125,0,200,100,100,100,0,0,0,200,100,100,100,50,200,200,100,0,0,100,150,150,150,150,150,0,0,0,0,0,100,100
Special_Forces,0,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,50,200,200,100,0,0,100,100,100,100,100,100,0,0,0,0,0,100,100
