Grass_Temperate,terr_grass_wi_02.tga terr_grass_wi_03.tga terr_grass_sp_01.tga terr_grass_sp_02.tga terr_grass_sp_03.tga terr_grass_sp_04.tga terr_grass_su.tga terr_grass_su.tga terr_grass_fa_01.tga terr_grass_fa_02.tga terr_grass_fa_03.tga terr_grass_wi_01.tga 
Beach_Temperate,terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga
GrassRocky_Temperate,terr_grass_rocky_wi_02.tga terr_grass_rocky_wi_03.tga terr_grass_rocky_sp_01.tga terr_grass_rocky_sp_02.tga terr_grass_rocky_sp_03.tga terr_grass_rocky_sp_04.tga terr_grass_rocky_su.tga terr_grass_rocky_su.tga terr_grass_rocky_fa_01.tga terr_grass_rocky_fa_01.tga terr_grass_rocky_fa_01.tga terr_grass_rocky_wi_01.tga 
MountainTop_Temperate,terr_mountain_top_wi_02.tga terr_mountain_top_wi_03.tga terr_mountain_top_wi_03.tga terr_mountain_top_wi_02.tga terr_mountain_top_wi_01.tga terr_mountain_top_wi_01.tga terr_mountain_top_wi_01.tga terr_mountain_top_wi_01.tga terr_mountain_top_wi_01.tga terr_mountain_top_wi_01.tga terr_mountain_top_wi_01.tga terr_mountain_top_wi_01.tga 
OceanFloor_Temperate,terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga
OceanFloor2_Temperate,terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga terr_dnokamni.tga
OceanFloor3_Temperate,terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga terr_dnokamnir.tga
GrassPatchy_Temperate,terr_grass_patchy_wi_02.tga terr_grass_patchy_wi_03.tga terr_grass_patchy_sp_01.tga terr_grass_patchy_sp_02.tga terr_grass_patchy_sp_03.tga terr_grass_patchy_sp_04.tga terr_grass_patchy_su.tga terr_grass_patchy_su.tga terr_grass_patchy_fa_01.tga terr_grass_patchy_fa_02.tga terr_grass_patchy_fa_03.tga terr_grass_patchy_wi_01.tga 
GrassDark_Temperate,terr_grass_dk_wi_02.tga terr_grass_dk_wi_03.tga terr_grass_dk_sp_01.tga terr_grass_dk_sp_02.tga terr_grass_dk_sp_03.tga terr_grass_dk_sp_04.tga terr_grass_dk_su.tga terr_grass_dk_su.tga terr_grass_dk_fa_01.tga terr_grass_dk_fa_01.tga terr_grass_dk_fa_01.tga terr_grass_dk_wi_01.tga
Cliff01_Temperate,terr_cliff01_wi_01.tga terr_cliff01_wi_01.tga terr_cliff01_wi_01.tga terr_cliff01.tga terr_cliff01.tga terr_cliff01.tga terr_cliff01.tga terr_cliff01.tga terr_cliff01.tga terr_cliff01.tga terr_cliff01.tga terr_cliff01_wi_01.tga 
Mountain01_Temperate,terr_mountain01_wi02.tga terr_mountain01_wi01.tga terr_mountain01_su.tga terr_mountain01_su.tga terr_mountain01_su.tga terr_mountain01_su.tga  terr_mountain01_su.tga  terr_mountain01_su.tga  terr_mountain01_su.tga  terr_mountain01_su.tga terr_mountain01_su.tga terr_mountain01_wi01.tga 
MountainGrass_Temperate,terr_mountain_grass_wi_02.tga terr_mountain_grass_wi_03.tga terr_mountain_grass_sp_01.tga terr_mountain_grass_sp_02.tga terr_mountain_grass_sp_03.tga terr_mountain_grass_sp_04.tga terr_mountain_grass_su.tga terr_mountain_grass_su.tga terr_mountain_grass_fa_01.tga terr_mountain_grass_fa_02.tga terr_mountain_grass_fa_02.tga terr_mountain_grass_wi_01.tga 
GroundCover_Temperate,terr_ground_cover_wi02.tga terr_ground_cover_wi03.tga terr_ground_cover_sp01.tga terr_ground_cover_sp02.tga terr_ground_cover_sp03.tga terr_ground_cover_sp04.tga terr_ground_cover_su.tga terr_ground_cover_su.tga terr_ground_cover_fa01.tga terr_ground_cover_fa02.tga terr_ground_cover_fa02.tga terr_ground_cover_wi01.tga 
Riverbank_Temperate,terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga terr_beach_oceanfloor4.tga
RiverbankGrassy_Temperate,terr_riverbank_grassy_wi_02.tga terr_riverbank_grassy_wi_03.tga terr_riverbank_grassy_sp_01.tga terr_riverbank_grassy_sp_02.tga terr_riverbank_grassy_sp_03.tga terr_riverbank_grassy_sp_04.tga terr_riverbank_grassy_su.tga terr_riverbank_grassy_su.tga terr_riverbank_grassy_fa_01.tga terr_riverbank_grassy_fa_02.tga terr_riverbank_grassy_fa_03.tga terr_riverbank_grassy_wi_01.tga 
RiverbankPatchy_Temperate,terr_riverbank_patchy_wi_02.tga terr_riverbank_patchy_wi_03.tga terr_riverbank_patchy_sp_01.tga terr_riverbank_patchy_sp_02.tga terr_riverbank_patchy_sp_03.tga terr_riverbank_patchy_sp_04.tga terr_riverbank_patchy_su.tga terr_riverbank_patchy_su.tga terr_riverbank_patchy_fa_01.tga terr_riverbank_patchy_fa_02.tga terr_riverbank_patchy_fa_02.tga terr_riverbank_patchy_wi_01.tga 
ForestRoots_Temperate,terr_forest_roots_wi_02.tga terr_forest_roots_wi_02.tga terr_forest_roots_wi_01.tga terr_forest_roots_su.tga terr_forest_roots_su.tga terr_forest_roots_su.tga terr_forest_roots_su.tga terr_forest_roots_su.tga terr_forest_roots_su.tga terr_forest_roots_su.tga terr_forest_roots_su.tga terr_forest_roots_wi_01.tga 
SparseGrass01_Temperate,terr_sparse_grass01_wi_02.tga terr_sparse_grass01_wi_03.tga terr_sparse_grass01_sp_01.tga terr_sparse_grass01_sp_02.tga terr_sparse_grass01_sp_03.tga terr_sparse_grass01_sp_04.tga terr_sparse_grass01_su.tga terr_sparse_grass01_su.tga terr_sparse_grass01_fa_01.tga terr_sparse_grass01_fa_02.tga terr_sparse_grass01_fa_03.tga terr_sparse_grass01_wi_01.tga  
SparseGrass02_Temperate,terr_sparse_grass02_wi_02.tga terr_sparse_grass02_wi_03.tga terr_sparse_grass02_sp_01.tga terr_sparse_grass02_sp_02.tga terr_sparse_grass02_sp_03.tga terr_sparse_grass02_sp_04.tga terr_sparse_grass02_su.tga terr_sparse_grass02_su.tga terr_sparse_grass02_fa_01.tga terr_sparse_grass02_fa_02.tga terr_sparse_grass02_fa_03.tga terr_sparse_grass02_wi_01.tga 
SparseGrass03_Temperate,terr_sparse_grass03_wi_02.tga terr_sparse_grass03_wi_03.tga terr_sparse_grass03_sp_01.tga terr_sparse_grass03_sp_02.tga terr_sparse_grass03_sp_03.tga terr_sparse_grass03_sp_04.tga terr_sparse_grass03_su.tga terr_sparse_grass03_su.tga terr_sparse_grass03_fa_01.tga terr_sparse_grass03_fa_02.tga terr_sparse_grass03_fa_03.tga terr_sparse_grass03_wi_01.tga 
FloodMeadow_Temperate,terr_flood_meadow_wi_02.tga terr_flood_meadow_wi_03.tga terr_flood_meadow_sp_01.tga terr_flood_meadow_sp_02.tga terr_flood_meadow_sp_03.tga terr_flood_meadow_sp_04.tga terr_flood_meadow_su.tga terr_flood_meadow_su.tga terr_flood_meadow_fa_01.tga terr_flood_meadow_fa_02.tga terr_flood_meadow_fa_03.tga terr_flood_meadow_wi_01.tga 
HillMeadow_Temperate,terr_hill_meadow_wi_02.tga terr_hill_meadow_wi_03.tga terr_hill_meadow_sp_01.tga terr_hill_meadow_sp_02.tga terr_hill_meadow_sp_03.tga terr_hill_meadow_sp_04.tga terr_hill_meadow_su.tga terr_hill_meadow_su.tga terr_hill_meadow_fa_01.tga terr_hill_meadow_fa_02.tga terr_hill_meadow_fa_03.tga terr_hill_meadow_wi_01.tga 
UnderstoryThicket_Temperate,terr_understory_thicket_wi_02.tga terr_understory_thicket_wi_03.tga terr_understory_thicket_wi_03.tga terr_understory_thicket_wi_02.tga terr_understory_thicket_wi_01.tga terr_understory_thicket_su.tga terr_understory_thicket_su.tga terr_understory_thicket_su.tga terr_understory_thicket_su.tga terr_understory_thicket_fa_01.tga terr_understory_thicket_fa_01.tga terr_understory_thicket_wi_01.tga 
CoastalGrass01_Temperate,terr_coastal_grass01_wi_01.tga terr_coastal_grass01_wi_01.tga terr_coastal_grass01_su.tga terr_coastal_grass01_su.tga terr_coastal_grass01_su.tga terr_coastal_grass01_su.tga terr_coastal_grass01_su.tga terr_coastal_grass01_su.tga terr_coastal_grass01_fa_01.tga terr_coastal_grass01_fa_01.tga terr_coastal_grass01_fa_01.tga terr_coastal_grass01_wi_01.tga 
CoastalGrass02_Temperate,terr_coastal_grass02_wi_02.tga terr_coastal_grass02_sp_01.tga terr_coastal_grass02_sp_01.tga terr_coastal_grass02_su.tga terr_coastal_grass02_su.tga terr_coastal_grass02_su.tga terr_coastal_grass02_su.tga terr_coastal_grass02_su.tga terr_coastal_grass02_fa_01.tga terr_coastal_grass02_fa_01.tga terr_coastal_grass02_fa_01.tga terr_coastal_grass02_wi_01.tga 
Saltgrass_Temperate,terr_salt_grass_wi_02.tga terr_salt_grass_wi_03.tga terr_salt_grass_sp_01.tga terr_salt_grass_sp_02.tga terr_salt_grass_sp_03.tga terr_salt_grass_sp_04.tga terr_salt_grass_su.tga terr_salt_grass_su.tga terr_salt_grass_fa_01.tga terr_salt_grass_fa_02.tga terr_salt_grass_fa_03.tga terr_salt_grass_wi_01.tga 
ShallowWater_Temperate,terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga terr_coral2.tga
Coastal_Temperate,terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga terr_coral.tga
Worn_Path_1,terr_wornpath_1_wi02.tga terr_wornpath_1_wi02.tga terr_wornpath_1_wi01.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_wi01.tga 
MidEpochsPath_1,terr_wornpath_1_wi02.tga terr_wornpath_1_wi02.tga terr_wornpath_1_wi01.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_su.tga terr_wornpath_1_wi01.tga
