//Terrain Type,High detail texture,Medium Detail Texture,Low Detail Texture,Dust Type,MINIMAP_FILENAME,ZMIN,ZMAX,MOVETYPE,GRASS LAYER
# DbTerrainTexture_ = Arid,,,,,,,,,
Grass,Grass_Arid,Grass_Arid,Grass_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_grass.bmp,1,4,kTerrainMoveType_Land,0
Grass2,Grass2_Arid,Grass2_Arid,Grass2_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_grass.bmp,1,4,kTerrainMoveType_Land,0
Beach,Beach_Arid,Beach_Arid,Beach_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_dirt.bmp,0,1,kTerrainMoveType_Land,0
GrassPrairieArid,Grass_Prairie_Arid,Grass_Prairie_Arid,Grass_Prairie_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_prairie_grass.bmp,5,7,kTerrainMoveType_Land,0
AridDenseGrass,AridDenseGrass_Arid,AridDenseGrass_Arid,AridDenseGrass_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_dense_grass.bmp,7,9999,kTerrainMoveType_Land,0
OceanFloor,OceanFloor_Arid,OceanFloor_Arid,OceanFloor_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_water_riverbed.bmp,-9999,-2,kTerrainMoveType_Ocean,0
OceanFloor2,OceanFloor2_Arid,OceanFloor2_Arid,OceanFloor2_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_water_riverbed.bmp,-9999,-2,kTerrainMoveType_Ocean,0
OceanFloor3,OceanFloor3_Arid,OceanFloor3_Arid,OceanFloor3_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_water_riverbed.bmp,-9999,-2,kTerrainMoveType_Ocean,0
MountainArid,Mountain_Arid,Mountain_Arid,Mountain_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_mountain.bmp,4,5,kTerrainMoveType_Mountain,0
AridSmallScrub,AridSmallScrub_Arid,AridSmallScrub_Arid,AridSmallScrub_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_small_scrub.bmp,0,0,kTerrainMoveType_Land,0
Desert,Desert_Arid,Desert_Arid,Desert_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_desert.bmp,0,0,kTerrainMoveType_Land,0
Desert2,Desert2_Arid,Desert2_Arid,Desert2_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_desert.bmp,0,0,kTerrainMoveType_Land,0
AridDesertScrub,AridDesertScrub_Arid,AridDesertScrub_Arid,AridDesertScrub_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_desert_scrub.bmp,0,0,kTerrainMoveType_Land,0
UnderTreeArid,Under_Tree_Arid,Under_Tree_Arid,Under_Tree_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_under_tree.bmp,0,0,kTerrainMoveType_Land,0
Cliff01,Cliff01_Arid,Cliff01_Arid,Cliff01_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_temperate_cliff01.bmp,0,0,kTerrainMoveType_Cliff,0
MountainGrassArid,Mountain_Grass_Arid,Mountain_Grass_Arid,Mountain_Grass_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_mountain_grass.bmp,0,0,kTerrainMoveType_Cliff,0
AridCracked,AridCracked_Arid,AridCracked_Arid,AridCracked_Arid,Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand Sand,terr_arid_cracked.bmp,0,0,kTerrainMoveType_Land,0
