//Terrain Type,High detail texture,Medium Detail Texture,Low Detail Texture,Dust Type,MINIMAP_FILENAME,ZMIN,ZMAX,MOVETYPE,GRASS LAYER
# DbTerrainTexture_ = Tropical,,,,,,,,,
Grass,DenseGrass_Tropical,DenseGrass_Tropical,DenseGrass_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_temperate_grass.bmp,1,4,kTerrainMoveType_Land,0
GrassBig,GrassBig_Tropical,GrassBig_Tropical,GrassBig_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_temperate_grass.bmp,1,4,kTerrainMoveType_Land,0
Beach,Beach_Tropical,Beach_Tropical,Beach_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_dirt.bmp,0,1,kTerrainMoveType_Land,0
GrassTropical,Grass_Tropical,Grass_Tropical,Grass_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_temperate_grass_rocky.bmp,5,7,kTerrainMoveType_Land,0
TropicalCoverRocky,TropicalCoverRocky_Tropical,TropicalCoverRocky_Tropical,TropicalCoverRocky_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_trop_cover_rocky.bmp,7,9999,kTerrainMoveType_Land,0
OceanFloor,OceanFloor_Tropical,OceanFloor_Tropical,OceanFloor_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_water_riverbed.bmp,-9999,-2,kTerrainMoveType_Ocean,0
OceanFloor2,OceanFloor2_Tropical,OceanFloor2_Tropical,OceanFloor2_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_water_riverbed.bmp,-9999,-2,kTerrainMoveType_Ocean,0
GrassPatchy,GrassPatchy_Tropical,GrassPatchy_Tropical,GrassPatchy_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_temperate_grass_patchy.bmp,4,5,kTerrainMoveType_Land,0
Kudzu,Kudzu_Tropical,Kudzu_Tropical,Kudzu_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_temperate_grass_patchy.bmp,0,0,kTerrainMoveType_Land,0
TroddenDirt,Trodden_Tropical,Trodden_Tropical,Trodden_Tropical,Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud Mud,terr_dirt.bmp,0,0,kTerrainMoveType_Land,0
