//,Sprite,Width,Height,Duration,fade duration
Test, Road1_Piece_R,2,4,10,5

Ambient_MonaScorch,Ambient_NukeScorch01,2,2,8,6
Ambient_NukeScorch01,Ambient_NukeScorch01,6,6,20,10
Ambient_NukeScorch02,Ambient_NukeScorch02,10,10,16,10
Ambient_NukeScorch03,Ambient_NukeScorch01,12,12,40,20
Ambient_NukeScorch04,Ambient_NukeScorch02,24,24,36,20

// BATTLEFIELD AMBIENTS,,,,,
Ambient_Scorch01,Ambient_Scorch01,2,2,10,5
Ambient_Scorch02,Ambient_Scorch02,2,2,10,5
Ambient_Scorch03,Ambient_Scorch03,2,2,10,5
Ambient_Scorch_Small01,Ambient_Scorch01,0.5,0.5,10,5



Ambient_Bloodstain01,Ambient_Bloodstain01,0.5,0.5,10,5

// UNIT TRACKS,,,,,
,//Tank,,,,
,//Travel in straight line,,,,
,//Lod1,,,,
Track_Tank_1,Track_Tank_1,0.85,0.85,10,5
,//Lod2,,,,
Track_Tank_1_L2,Track_Tank_1,0.85,0.85,5,5
,//Lod3,,,,
Track_Tank_1_L3,Track_Tank_1,0.85,0.85,0,5
,//Turn,,,,
Track_Tank_Turn_L1,Track_Tank_Turn_L1,0.85,0.85,10,5
Track_Tank_Turn_R1,Track_Tank_Turn_R1,0.85,0.85,10,5
,//Artillery,,,,
,//Travel in straight line,,,,
,//Lod1,,,,
Track_Artillery_1,Track_Tank_1,0.85,0.85,10,5
,//Lod2,,,,
Track_Artillery_1_L2,Track_Tank_1,0.85,0.85,5,5
,//Lod3,,,,
Track_Artillery_1_L3,Track_Tank_1,0.85,0.85,0,5
,//Turn,,,,
Track_Artillery_Turn_L1,Track_Tank_Turn_L1,0.85,0.85,10,5
Track_Artillery_Turn_R1,Track_Tank_Turn_R1,0.85,0.85,10,5
,//Human,,,,
,//Travel in straight line,,,,
,//Lod1,,,,
Track_Human_1,Track_Human_1,0.25,0.25,5,5
Track_Human_2,Track_Human_2,0.25,0.25,5,5
Track_Human_3,Track_Human_3,0.25,0.25,5,5
Track_Human_4,Track_Human_4,0.25,0.25,5,5
Track_Human_5,Track_Human_5,0.25,0.25,5,5
Track_Human_6,Track_Human_6,0.25,0.25,5,5
Track_Human_7,Track_Human_7,0.25,0.25,5,5
Track_Human_8,Track_Human_8,0.25,0.25,5,5
,//Lod2,,,,
Track_Human_1_L2,Track_Human_1,0.25,0.25,2,5
Track_Human_2_L2,Track_Human_2,0.25,0.25,2,5
Track_Human_3_L2,Track_Human_3,0.25,0.25,2,5
Track_Human_4_L2,Track_Human_4,0.25,0.25,2,5
Track_Human_5_L2,Track_Human_5,0.25,0.25,2,5
Track_Human_6_L2,Track_Human_6,0.25,0.25,2,5
Track_Human_7_L2,Track_Human_7,0.25,0.25,2,5
Track_Human_8_L2,Track_Human_8,0.25,0.25,2,5
,//Lod3,,,,
Track_Human_1_L3,Track_Human_1,0.25,0.25,0,5
Track_Human_2_L3,Track_Human_2,0.25,0.25,0,5
Track_Human_3_L3,Track_Human_3,0.25,0.25,0,5
Track_Human_4_L3,Track_Human_4,0.25,0.25,0,5
Track_Human_5_L3,Track_Human_5,0.25,0.25,0,5
Track_Human_6_L3,Track_Human_6,0.25,0.25,0,5
Track_Human_7_L3,Track_Human_7,0.25,0.25,0,5
Track_Human_8_L3,Track_Human_8,0.25,0.25,0,5
,//Herc,,,,
,//Travel in straight line,,,,
,//Lod1,,,,
Track_Herc_1,Track_Herc_1,1.8,1.8,5,5
Track_Herc_2,Track_Herc_2,1.8,1.8,5,5
Track_Herc_3,Track_Herc_3,1.8,1.8,5,5
Track_Herc_4,Track_Herc_4,1.8,1.8,5,5
Track_Herc_5,Track_Herc_5,1.8,1.8,5,5
Track_Herc_6,Track_Herc_6,1.8,1.8,5,5
Track_Herc_7,Track_Herc_7,1.8,1.8,5,5
Track_Herc_8,Track_Herc_8,1.8,1.8,5,5
,//Lod2,,,,
Track_Herc_1_L2,Track_Herc_1,1.8,1.8,2,5
Track_Herc_2_L2,Track_Herc_2,1.8,1.8,2,5
Track_Herc_3_L2,Track_Herc_3,1.8,1.8,2,5
Track_Herc_4_L2,Track_Herc_4,1.8,1.8,2,5
Track_Herc_5_L2,Track_Herc_5,1.8,1.8,2,5
Track_Herc_6_L2,Track_Herc_6,1.8,1.8,2,5
Track_Herc_7_L2,Track_Herc_7,1.8,1.8,2,5
Track_Herc_8_L2,Track_Herc_8,1.8,1.8,2,5
,//Lod3,,,,
Track_Herc_1_L3,Track_Herc_1,1.8,1.8,0,5
Track_Herc_2_L3,Track_Herc_2,1.8,1.8,0,5
Track_Herc_3_L3,Track_Herc_3,1.8,1.8,0,5
Track_Herc_4_L3,Track_Herc_4,1.8,1.8,0,5
Track_Herc_5_L3,Track_Herc_5,1.8,1.8,0,5
Track_Herc_6_L3,Track_Herc_6,1.8,1.8,0,5
Track_Herc_7_L3,Track_Herc_7,1.8,1.8,0,5
Track_Herc_8_L3,Track_Herc_8,1.8,1.8,0,5
