//Name,Seasonal Texture,Alpha Mask texture,Tint fraction (1.0 = use tint; 0.0 = ignore tint)
# DbSeasonalTextureSets_ = Tundra,,,
Grass_Tundra,Grass_Tundra,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Grass_Tundra2,Grass_Tundra2,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Grass_Tundra3,Grass_Tundra3,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Grass_Tundra4,Grass_Tundra4,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
IceySnow_arctic,IceySnow_arctic,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Cliff_Arctic,Cliff_Arctic,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Mountain_Arctic,Mountain_Arctic,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Mountain_Arctic2,Mountain_Arctic2,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Mountain_Arctic_Snow,Mountain_Arctic_Snow,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Mountain_Arctic_Snow2,Mountain_Arctic_Snow2,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Arctic_Ocean_Base,Arctic_Ocean_Base,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Arctic_Rocky_Snow,Arctic_Rocky_Snow,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Arctic_Rough_Snow,Arctic_Rough_Snow,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Arctic_Shore_Base,Arctic_Shore_Base,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Arctic_Snow_Riverbank,Arctic_Snow_Riverbank,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
Arctic_DirtySnow,Arctic_DirtySnow,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
OceanFloor_Tundra,OceanFloor_Tundra,terr_16_mask.tga, 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
