//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS
icon_unit_MIG68,icon_unit_MIG68.tga,0,0,65,60,0
icon_unit_Ka90,icon_unit_Ka90.tga,0,0,65,60,0
icon_unit_WZ31,icon_unit_WZ31.tga,0,0,65,60,0
icon_unit_KF50,icon_unit_KF50.tga,0,0,60,60,0
icon_unit_Leopard2A4,icon_unit_Leopard2A4.tga,0,0,60,60,0
icon_unit_Type058,icon_unit_Type058.tga,0,0,60,60,0
icon_unit_Kronshtadt,icon_unit_Kronshtadt.tga,0,0,60,60,0
icon_unit_ZTZ100,icon_unit_ZTZ100.tga,0,0,60,60,0
icon_unit_Amata,icon_unit_Amata.tga,0,0,60,60,0
icon_unit_Cangming,icon_unit_Cangming.tga,0,0,60,60,0
icon_unit_FC1,icon_unit_FC1.tga,0,0,60,60,0
icon_unit_AuroraPlane,icon_unit_Aurora.tga,0,0,60,60,0
icon_unit_Valkyrie,icon_unit_Valkyrie.tga,0,0,60,60,0
icon_unit_Taranis,icon_unit_Taranis.tga,0,0,60,60,0
icon_unit_Tempest15,icon_unit_Tempest15.tga,0,0,60,60,0
icon_unit_Annihilator,icon_unit_Annihilator.tga,0,0,60,60,0
icon_unit_Crowning,icon_unit_Crowning.tga,0,0,60,60,0
icon_unit_Challenger3,icon_unit_Challenger3.tga,0,0,60,60,0
icon_unit_neuron,icon_unit_neuron.tga,0,0,60,60,0
icon_unit_Caustic,icon_unit_Caustic.tga,0,0,60,60,0
icon_unit_AMX100,icon_unit_AMX100.tga,0,0,60,60,0
icon_unit_LecEvo,icon_unit_LecEvo.tga,0,0,60,60,0
icon_unit_PAKDA,icon_unit_PAKDA.tga,0,0,60,60,0
icon_unit_Tu222,icon_unit_Tu222.tga,0,0,60,60,0
icon_unit_Ulyanovsk,icon_unit_Ulyanovsk.tga,0,0,60,60,0
icon_unit_DLRFED,icon_unit_DLRFED.tga,0,0,60,60,0
icon_unit_Lerche,icon_unit_Lerche.tga,0,0,60,60,0
icon_unit_FCAS,icon_unit_FCAS.tga,0,0,60,60,0
icon_unit_Nemesis,icon_unit_Nemesis.tga,0,0,60,60,0
icon_unit_Leopard3A4,icon_unit_Leopard3A4.tga,0,0,60,60,0
icon_unit_KF51,icon_unit_KF51.tga,0,0,60,60,0
icon_unit_FA37,icon_unit_FA37.tga,0,0,60,60,0
icon_unit_F45,icon_unit_F45.tga,0,0,60,60,0
icon_unit_FA57,icon_unit_FA57.tga,0,0,60,60,0
icon_unit_F47,icon_unit_F47.tga,0,0,60,60,0
icon_unit_PAC4,icon_unit_PAC4.tga,0,0,60,60,0
icon_unit_XM2030,icon_unit_XM2030.tga,0,0,60,60,0
icon_unit_Mammoth,icon_unit_Mammoth.tga,0,0,60,60,0
icon_unit_MBT_X8,icon_unit_MBT_X8.tga,0,0,60,60,0
icon_unit_PyotrVelikiy,icon_unit_PyotrVelikiy.tga,0,0,60,60,0
icon_unit_Su77M,icon_unit_Su77M.tga,0,0,60,60,0
icon_unit_Su67,icon_unit_Su67.tga,0,0,60,60,0
icon_unit_MIG41,icon_unit_MIG41.tga,0,0,60,60,0
icon_unit_MIG151,icon_unit_MIG151.tga,0,0,60,60,0
icon_unit_RhinoTank,icon_unit_RhinoTank.tga,0,0,60,60,0
icon_unit_NuclearCannon,icon_unit_NuclearCannon.tga,0,0,60,60,0
icon_unit_Apocalypse,icon_unit_Apocalypse.tga,0,0,60,60,0
icon_unit_Hammer,icon_unit_Hammer.tga,0,0,60,60,0
icon_unit_Type004,icon_unit_Type004.tga,0,0,60,60,0
icon_unit_JH14,icon_unit_JH14.tga,0,0,60,60,0
icon_unit_J36,icon_unit_J36.tga,0,0,60,60,0
icon_unit_J50,icon_unit_J50.tga,0,0,60,60,0
icon_unit_H30,icon_unit_H30.tga,0,0,60,60,0
icon_unit_QiLin,icon_unit_QiLin.tga,0,0,60,60,0
icon_unit_baihu,icon_unit_baihu.tga,0,0,60,60,0
icon_unit_OverLord,icon_unit_OverLord.tga,0,0,60,60,0
icon_unit_ZTZ200,icon_unit_ZTZ101.tga,0,0,60,60,0
icon_unit_LongBeach,icon_unit_LongBeach.tga,0,0,60,60,0
icon_unit_Rubis,icon_unit_Rubis.tga,0,0,60,60,0
icon_unit_Ballistic,icon_unit_Ballistic.tga,0,0,60,60,0
icon_unit_Type096,icon_unit_Type096.tga,0,0,60,60,0
icon_unit_Qaher313,icon_unit_Qaher313.tga,0,0,60,60,0
icon_unit_Su57,icon_unit_Su57.tga,0,0,60,60,0
icon_unit_Su75,icon_unit_Su75.tga,0,0,60,60,0
icon_unit_Su35,icon_unit_Su35.tga,0,0,60,60,0
icon_unit_J20S,icon_unit_J20S.tga,0,0,60,60,0
icon_unit_DF17,icon_unit_DF17.tga,0,0,60,60,0
icon_unit_ZBL09,icon_unit_ZBL09.tga,0,0,60,60,0
icon_unit_ArmyAcademy,icon_unit_ArmyAcademy.tga,0,0,60,60,0
icon_unit_AirAcademy,icon_unit_AirAcademy.tga,0,0,60,60,0
icon_unit_NavalAcademy,icon_unit_NavalAcademy.tga,0,0,60,60,0
icon_unit_Type003,icon_unit_Type003.tga,0,0,60,60,0
icon_unit_J35A,icon_unit_J35A.tga,0,0,60,60,0

icon_unit_MI_RTS13,icon_unit_MI_RTS13.tga,0,0,60,60,0
icon_unit_YL38,icon_unit_YL38.tga,0,0,60,60,0
