//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS

// basic cursors,,,,,,
cursor_invalid,cursor_invalid.tga,0,0,32,32,0
cursor_normal,cursor_normal.tga,0,0,32,32,0

// basic unit actions,,,,,,
cursor_move,cursor_move.tga,0,0,32,32,0
cursor_move_invalid,cursor_move_invalid.tga,0,0,32,32,0
cursor_attack,cursor_attack.tga,0,0,32,32,0
cursor_attack_invalid,cursor_attack_invalid.tga,0,0,32,32,0
cursor_attackground,cursor_attackground.tga,0,0,32,32,0
cursor_attackground_invalid,cursor_attackground_invalid.tga,0,0,32,32,0
cursor_attackmove,cursor_attackmove.tga,0,0,32,32,0
cursor_attackmove_invalid,cursor_attackmove_invalid.tga,0,0,32,32,0
cursor_attackgroup,cursor_attackgroup.tga,0,0,32,32,0
cursor_attackgroup_invalid,cursor_attackgroup_invalid.tga,0,0,32,32,0
cursor_attacktype,cursor_attacktype.tga,0,0,32,32,0
cursor_attacktype_invalid,cursor_attacktype_invalid.tga,0,0,32,32,0
cursor_nuclear_blast,cursor_nuclear_blast.tga,0,0,32,32,0
cursor_nuclear_blast_invalid,cursor_nuclear_blast_invalid.tga,0,0,32,32,0
cursor_gather,cursor_gather.tga,0,0,32,32,0
cursor_gather_food,cursor_gather_food.tga,0,0,32,32,0
cursor_gather_wood,cursor_gather_wood.tga,0,0,32,32,0
cursor_gather_stone,cursor_gather_stone.tga,0,0,32,32,0
cursor_gather_gold,cursor_gather_gold.tga,0,0,32,32,0
cursor_gather_tin,cursor_gather_tin.tga,0,0,32,32,0
cursor_gather_iron,cursor_gather_iron.tga,0,0,32,32,0
cursor_gather_saltpeter,cursor_gather_saltpeter.tga,0,0,32,32,0
cursor_gather_invalid,cursor_gather_invalid.tga,0,0,32,32,0
cursor_resourceDropoff,cursor_resourceDropoff.tga,0,0,32,32,0
cursor_build,cursor_build.tga,0,0,32,32,0
cursor_repair,cursor_repair.tga,0,0,32,32,0
cursor_buildrepair_invalid,cursor_buildrepair_invalid.tga,0,0,32,32,0
cursor_garrison,cursor_garrison.tga,0,0,32,32,0
cursor_garrison_invalid,cursor_garrison_invalid.tga,0,0,32,32,0
cursor_ungarrison,cursor_ungarrison.tga,0,0,32,32,0
cursor_ungarrison_invalid,cursor_ungarrison_invalid.tga,0,0,32,32,0
cursor_capture,cursor_capture.tga,0,0,32,32,0
cursor_capture_invalid,cursor_capture_invalid.tga,0,0,32,32,0
cursor_convert,cursor_convert.tga,0,0,32,32,0
cursor_convert_invalid,cursor_convert_invalid.tga,0,0,32,32,0
cursor_rallypoint,cursor_rallypoint.tga,0,0,32,32,0
cursor_rallypoint_invalid,cursor_rallypoint_invalid.tga,0,0,32,32,0
cursor_guard,cursor_guard.tga,0,0,32,32,0
cursor_guard_invalid,cursor_guard_invalid.tga,0,0,32,32,0
cursor_trade,cursor_trade.tga,0,0,32,32,0
cursor_trade_invalid,cursor_trade_invalid.tga,0,0,32,32,0

// special power actions,,,,,,
cursor_specialpower,cursor_specialpower.tga,0,0,32,32,0
cursor_bless,cursor_bless.tga,0,0,32,32,0
cursor_bless_invalid,cursor_bless_invalid.tga,0,0,32,32,0
cursor_heal,cursor_heal.tga,0,0,32,32,0
cursor_heal_invalid,cursor_heal_invalid.tga,0,0,32,32,0
cursor_contaminate,cursor_contaminate.tga,0,0,32,32,0
cursor_contaminate_invalid,cursor_contaminate_invalid.tga,0,0,32,32,0
cursor_decontaminate,cursor_decontaminate.tga,0,0,32,32,0
cursor_decontaminate_invalid,cursor_decontaminate_invalid.tga,0,0,32,32,0
cursor_sabotage,cursor_sabotage.tga,0,0,32,32,0
cursor_sabotage_invalid,cursor_sabotage_invalid.tga,0,0,32,32,0
cursor_restore,cursor_restore.tga,0,0,32,32,0
cursor_restore_invalid,cursor_restore_invalid.tga,0,0,32,32,0
cursor_gatherintel,cursor_gatherintel.tga,0,0,32,32,0
cursor_gatherintel_invalid,cursor_gatherintel_invalid.tga,0,0,32,32,0
cursor_herc_shield,cursor_herc_shield.tga,0,0,32,32,0
cursor_herc_shield_invalid,cursor_herc_shield_invalid.tga,0,0,32,32,0
cursor_herc_EMP,cursor_herc_EMP.tga,0,0,32,32,0
cursor_herc_EMP_invalid,cursor_herc_EMP_invalid.tga,0,0,32,32,0

// leader powers,,,,,,
cursor_capitalism,cursor_capitalism.tga,0,0,32,32,0
cursor_capitalism_invalid,cursor_capitalism_invalid.tga,0,0,32,32,0
cursor_diversion,cursor_diversion.tga,0,0,32,32,0
cursor_diversion_invalid,cursor_diversion_invalid.tga,0,0,32,32,0
cursor_endeavor,cursor_endeavor.tga,0,0,32,32,0
cursor_endeavor_invalid,cursor_endeavor_invalid.tga,0,0,32,32,0
cursor_fasttracking,cursor_fasttracking.tga,0,0,32,32,0
cursor_fasttracking_invalid,cursor_fasttracking_invalid.tga,0,0,32,32,0
cursor_forInvest,cursor_forInvest.tga,0,0,32,32,0
cursor_forInvest_invalid,cursor_forInvest_invalid.tga,0,0,32,32,0
cursor_imperialism,cursor_imperialism.tga,0,0,32,32,0
cursor_imperialism_invalid,cursor_imperialism_invalid.tga,0,0,32,32,0
cursor_mobilization,cursor_mobilization.tga,0,0,32,32,0
cursor_mobilization_invalid,cursor_mobilization_invalid.tga,0,0,32,32,0
cursor_propaganda,cursor_propaganda.tga,0,0,32,32,0
cursor_propaganda_invalid,cursor_propaganda_invalid.tga,0,0,32,32,0

// wonder powers,,,,,,
cursor_lostcity,cursor_lostcity.tga,0,0,32,32,0
cursor_lostcity_invalid,cursor_lostcity_invalid.tga,0,0,32,32,0
cursor_rapiddeployment,cursor_rapiddeployment.tga,0,0,32,32,0
cursor_rapiddeployment_invalid,cursor_rapiddeployment_invalid.tga,0,0,32,32,0

// warplans cursors,,,,,,
cursor_warplans_select,cursor_warplans_select.tga,0,0,32,32,0
cursor_warplans_label,cursor_warplans_label.tga,0,0,32,32,0
cursor_warplans_target,cursor_warplans_target.tga,0,0,32,32,0
cursor_warplans_area,cursor_warplans_area.tga,0,0,32,32,0
cursor_warplans_path,cursor_warplans_path.tga,0,0,32,32,0

// misc cursors,,,,,,
cursor_eyedropper,cursor_eyedropper.tga,0,0,32,32,0
