//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS

// front end screens,,,,,,
spr_bkg_main,ui_fe_bkg_main.tga,0,64,512,384,0
spr_bkg_sp,ui_fe_bkg_sp.tga,0,64,512,384,0
spr_bkg_camp,ui_fe_bkg_camp.tga,0,64,512,384,0
spr_bkg_options,ui_fe_bkg_options.tga,0,64,512,384,0
spr_bkg_endstats,ui_fe_bkg_egstats.tga,0,64,512,384,0
spr_bkg_panel_grey,ui_fe_bkg_panel_grey.tga,0,0,2,2,0
spr_fe_button,ui_fe_button_pressed.tga,0,0,240,48,0
spr_fe_button_hilite,ui_fe_button_norm.tga,0,0,240,48,0
spr_fe_radiobutton_off,ui_fe_radiobutton_off.tga,0,0,32,32,0
spr_fe_radiobutton_on,ui_fe_radiobutton_on.tga,0,0,32,32,0
spr_fe_listitem,ui_empty.tga,0,0,4,4,0
spr_fe_listitem_hilite,ui_fe_colorSample_listHilite.tga,0,0,4,4,0
spr_fe_bkg_combo,ui_fe_bkg_combo.tga,0,0,2,2,0
spr_fe_tab_off,ui_fe_tab_unselected.tga,9,0,110,32,0
spr_fe_tab_on,ui_fe_tab_selected.tga,9,0,110,32,0
//spr_fe_slider_horiz,ui_fe_slider1_horiz.tga,0,0,128,32,0
//spr_fe_slider_horiz_thumb,ui_fe_slider1_horiz_thumb.tga,4,0,24,32,0
spr_fe_star,ui_fe_star.tga,0,0,32,32,0
spr_fe_lose,ui_fe_lose.tga,0,0,64,64,0

// scrollbar colors,,,,,,

// @DEPRECATE,,,,,,
spr_fe_bkg_scroll,ui_fe_bkg_scroll.tga,0,0,2,2,0

spr_fe_scroll_bkg,ui_fe_scrollcolors.tga,1,1,2,2,0
spr_fe_scroll_vert,ui_fe_scrollcolors.tga,5,1,2,2,0
spr_fe_scroll_vert_p,ui_fe_scrollcolors.tga,1,5,2,2,0

// scrollbar buttons,,,,,,
spr_fe_scroll_down,ui_fe_scrollbar_button_bottom.tga,0,0,25,25,0
spr_fe_scroll_down_r,ui_fe_scrollbar_button_bottom_rollover.tga,0,0,25,25,0
spr_fe_scroll_down_p,ui_fe_scrollbar_button_bottom_pressed.tga,0,0,25,25,0
spr_fe_scroll_down_rp,ui_fe_scrollbar_button_bottom_pressed.tga,0,0,25,25,0
spr_fe_scroll_up,ui_fe_scrollbar_button_top.tga,0,0,25,25,0
spr_fe_scroll_up_r,ui_fe_scrollbar_button_top_rollover.tga,0,0,25,25,0
spr_fe_scroll_up_p,ui_fe_scrollbar_button_top_pressed.tga,0,0,25,25,0
spr_fe_scroll_up_rp,ui_fe_scrollbar_button_top_pressed.tga,0,0,25,25,0

// slider,,,,,,
spr_fe_slider_horiz_bkg,ui_fe_slider_bkg.tga,0,0,128,11,0
spr_fe_slider_horiz_thumb,ui_fe_slider_thumb.tga,0,0,19,40,0
