//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS
spr_bkg_verbose_tooltip,bkg_verbose_tooltip.tga,0,0,32,32,0


// DRAG SELECT,,,,,,
spr_game_dragselect,ui_select_quad.tga,0,0,1,1,0



// --------------------------------------,,,,,,
// TOP BANNER,,,,,,

spr_game_top_bkg_1,ui_ingame_top_bkg_stone.tga,0,0,256,48,0
spr_game_top_bkg_2T,ui_ingame_top_bkg_stone.tga,256,0,90,24,0
spr_game_top_bkg_2B,ui_ingame_top_bkg_stone.tga,256,24,90,24,0
spr_game_top_bkg_3,ui_ingame_top_bkg_stone.tga,346,0,256,48,0
spr_game_epochbutton,ui_ingame_button_epoch_stone.tga,0,0,80,34,0
spr_game_epochbutton_press,ui_ingame_button_epoch_pressed_stone.tga,0,0,80,34,0

spr_game_top_bkg_1_e2,ui_ingame_top_bkg_parch.tga,0,0,256,48,0
spr_game_top_bkg_2T_e2,ui_ingame_top_bkg_parch.tga,256,0,90,24,0
spr_game_top_bkg_2B_e2,ui_ingame_top_bkg_parch.tga,256,24,90,24,0
spr_game_top_bkg_3_e2,ui_ingame_top_bkg_parch.tga,346,0,256,48,0
spr_game_epochbutton_e2,ui_ingame_button_epoch_parch.tga,0,0,80,34,0
spr_game_epochbutton_press_e2,ui_ingame_button_epoch_pressed_parch.tga,0,0,80,34,0

spr_game_top_bkg_1_e3,ui_ingame_top_bkg_metal.tga,0,0,256,48,0
spr_game_top_bkg_2T_e3,ui_ingame_top_bkg_metal.tga,256,0,90,24,0
spr_game_top_bkg_2B_e3,ui_ingame_top_bkg_metal.tga,256,24,90,24,0
spr_game_top_bkg_3_e3,ui_ingame_top_bkg_metal.tga,346,0,256,48,0
spr_game_epochbutton_e3,ui_ingame_button_epoch_metal.tga,0,0,80,34,0
spr_game_epochbutton_press_e3,ui_ingame_button_epoch_pressed_metal.tga,0,0,80,34,0

// flyout arrows (there is currently a 1-pixel margin around the image proper),,,,,,
spr_game_flyout_arrow_left,ui_ingame_flyout_arrow_left.tga,0,0,15,29,0
spr_game_flyout_arrow_L_r,ui_ingame_flyout_arrow_left_rollover.tga,0,0,15,29,0
spr_game_flyout_arrow_L_p,ui_ingame_flyout_arrow_left_pressed.tga,0,0,15,29,0
spr_game_flyout_arrow_L_rp,ui_ingame_flyout_arrow_left_pressed.tga,0,0,15,29,0
spr_game_flyout_arrow_right,ui_ingame_flyout_arrow_right.tga,0,0,15,29,0
spr_game_flyout_arrow_R_r,ui_ingame_flyout_arrow_right_rollover.tga,0,0,15,29,0
spr_game_flyout_arrow_R_p,ui_ingame_flyout_arrow_right_pressed.tga,0,0,15,29,0
spr_game_flyout_arrow_R_rp,ui_ingame_flyout_arrow_right_pressed.tga,0,0,15,29,0

// game-is-paused!,,,,,,
spr_game_paused_bkg,ui_ingame_paused_bkg_stone.tga,0,0,256,40,0
spr_game_paused_bkg_e2,ui_ingame_paused_bkg_parch.tga,0,0,256,40,0
spr_game_paused_bkg_e3,ui_ingame_paused_bkg_metal.tga,0,0,256,40,0


// --------------------------------------,,,,,,
// DASHBOARD,,,,,,

// dashboard (first meta-epoch -- stone),,,,,,
spr_game_dash_1,ui_ingame_bottom_left_stone.tga,0,173,280,339,0
spr_game_dash_2T,ui_ingame_bottom_center_stone.tga,0,204,512,135,0
spr_game_dash_2B,ui_ingame_bottom_center_stone.tga,0,339,512,173,0
spr_game_dash_3,ui_ingame_bottom_center_stone.tga,512,204,210,308,0
spr_game_dash_4,ui_ingame_bottom_center_stone.tga,722,204,176,308,0
spr_game_dash_5_pip,ui_ingame_bottom_right_pip_stone.tga,0,174,301,338,0
spr_game_dash_5_nopip,ui_ingame_bottom_right_nopip_stone_2x.tga,0,174,301,338,0

// dashboard (second meta-epoch -- parchment),,,,,,
spr_game_dash_1_e2,ui_ingame_bottom_left_parch.tga,0,173,280,339,0
spr_game_dash_2T_e2,ui_ingame_bottom_center_parch.tga,0,204,512,135,0
spr_game_dash_2B_e2,ui_ingame_bottom_center_parch.tga,0,339,512,173,0
spr_game_dash_3_e2,ui_ingame_bottom_center_parch.tga,512,204,210,308,0
spr_game_dash_4_e2,ui_ingame_bottom_center_parch.tga,722,204,176,308,0
spr_game_dash_5_pip_e2,ui_ingame_bottom_right_pip_parch.tga,0,174,301,338,0
spr_game_dash_5_nopip_e2,ui_ingame_bottom_right_nopip_parch_2x.tga,0,174,301,338,0

// dashboard (third meta-epoch -- metal),,,,,,
spr_game_dash_1_e3,ui_ingame_bottom_left_metal.tga,0,173,280,339,0
spr_game_dash_2T_e3,ui_ingame_bottom_center_metal.tga,0,204,512,135,0
spr_game_dash_2B_e3,ui_ingame_bottom_center_metal.tga,0,339,512,173,0
spr_game_dash_3_e3,ui_ingame_bottom_center_metal.tga,512,204,210,308,0
spr_game_dash_4_e3,ui_ingame_bottom_center_metal.tga,722,204,176,308,0
spr_game_dash_5_pip_e3,ui_ingame_bottom_right_pip_metal.tga,0,174,301,338,0
spr_game_dash_5_nopip_e3,ui_ingame_bottom_right_nopip_metal_2x.tga,0,174,301,338,0

// resource background art (stone),,,,,,
spr_game_dash_res_pop,ui_ingame_bottom_res_stone.tga,0,0,121,49,0
spr_game_dash_res_1,ui_ingame_bottom_res_stone.tga,0,48,121,34,0
spr_game_dash_res_2,ui_ingame_bottom_res_stone.tga,0,81,121,34,0
spr_game_dash_res_3,ui_ingame_bottom_res_stone.tga,0,81,121,34,0
spr_game_dash_res_4,ui_ingame_bottom_res_stone.tga,0,48,121,34,0
spr_game_dash_res_5,ui_ingame_bottom_res_stone.tga,0,81,121,34,0
spr_game_dash_res_6,ui_ingame_bottom_res_stone.tga,0,48,121,34,0
spr_game_dash_res_7,ui_ingame_bottom_res_stone.tga,0,48,121,34,0
spr_game_dash_res_8,ui_ingame_bottom_res_stone.tga,0,147,121,35,0
spr_game_dash_res_2_empty,ui_ingame_bottom_res_stone.tga,0,411,121,34,0
spr_game_dash_res_8_empty,ui_ingame_bottom_res_stone.tga,0,477,121,35,0

// resource background art (parchment),,,,,,
spr_game_dash_res_pop_e2,ui_ingame_bottom_res_parch.tga,0,0,121,49,0
spr_game_dash_res_1_e2,ui_ingame_bottom_res_parch.tga,0,48,121,34,0
spr_game_dash_res_2_e2,ui_ingame_bottom_res_parch.tga,0,81,121,34,0
spr_game_dash_res_3_e2,ui_ingame_bottom_res_parch.tga,0,81,121,34,0
spr_game_dash_res_4_e2,ui_ingame_bottom_res_parch.tga,0,48,121,34,0
spr_game_dash_res_5_e2,ui_ingame_bottom_res_parch.tga,0,81,121,34,0
spr_game_dash_res_6_e2,ui_ingame_bottom_res_parch.tga,0,48,121,34,0
spr_game_dash_res_7_e2,ui_ingame_bottom_res_parch.tga,0,48,121,34,0
spr_game_dash_res_8_e2,ui_ingame_bottom_res_parch.tga,0,147,121,35,0
spr_game_dash_res_2_empty_e2,ui_ingame_bottom_res_parch.tga,0,411,121,34,0
spr_game_dash_res_8_empty_e2,ui_ingame_bottom_res_parch.tga,0,477,121,35,0

// resource background art (metal),,,,,,
spr_game_dash_res_pop_e3,ui_ingame_bottom_res_metal.tga,0,0,121,49,0
spr_game_dash_res_1_e3,ui_ingame_bottom_res_metal.tga,0,48,121,34,0
spr_game_dash_res_2_e3,ui_ingame_bottom_res_metal.tga,0,81,121,34,0
spr_game_dash_res_3_e3,ui_ingame_bottom_res_metal.tga,0,81,121,34,0
spr_game_dash_res_4_e3,ui_ingame_bottom_res_metal.tga,0,48,121,34,0
spr_game_dash_res_5_e3,ui_ingame_bottom_res_metal.tga,0,81,121,34,0
spr_game_dash_res_6_e3,ui_ingame_bottom_res_metal.tga,0,48,121,34,0
spr_game_dash_res_7_e3,ui_ingame_bottom_res_metal.tga,0,48,121,34,0
spr_game_dash_res_8_e3,ui_ingame_bottom_res_metal.tga,0,147,121,35,0
spr_game_dash_res_2_empty_e3,ui_ingame_bottom_res_metal.tga,0,411,121,34,0
spr_game_dash_res_8_empty_e3,ui_ingame_bottom_res_metal.tga,0,477,121,35,0

// button grid lines (with meta-epoch variants),,,,,,
