//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS

//Sprite Items for scenario editor,,,,,,
spr_bkg_panel_blue,background_boringgray.tga,0,0,8,8,0
spr_ee2logo_small,ee2xicon.tga,0,0,64,64,0
spr_ee2logo_large,logo.tga,0,0,256,256,0
spr_button,ui_button_back.tga,0,0,128,32,0
spr_slider_horiz,ui_slider1_horiz.tga,0,0,128,32,0
spr_slider_horiz_thumb,ui_slider1_horiz_thumb.tga,4,0,24,32,0
spr_slider_horiz_long,ui_slider_horiz_long.tga,0,0,256,32,0
spr_slider_vert,ui_slider1_vert.tga,0,0,32,128,0
spr_slider_vert_thumb,ui_slider1_vert_thumb.tga,0,4,32,24,0
spr_slider_horiz_red,gradient_horiz_red.tga,0,0,64,4,0
spr_slider_horiz_green,gradient_horiz_green.tga,0,0,64,4,0
spr_slider_horiz_blue,gradient_horiz_blue.tga,0,0,64,4,0
spr_tab_off,ui_tab_unselected.tga,9,0,110,32,0
spr_tab_on,ui_tab_selected.tga,9,0,110,32,0
spr_tab_long_off,ui_tab_long_unselected.tga,0,0,256,32,0
spr_tab_long_on,ui_tab_long_selected.tga,0,0,256,32,0
spr_tab_filler,ui_tab_filler.tga,0,0,8,32,0
spr_titlebar_bkgnd,ui_titlebar_bkgnd.tga,0,0,32,32,0
spr_closebox_small,ui_small_titlebar_buttons.tga,64,0,20,20,0
spr_closebox_small_hilite,ui_small_titlebar_buttons.tga,96,0,20,20,0
spr_minimize_small,ui_small_titlebar_buttons.tga,0,32,20,20,0
spr_minimize_small_hilite,ui_small_titlebar_buttons.tga,32,32,20,20,0
spr_radiobutton_small_off,ui_radiobutton_small_off.tga,0,0,32,32,0
spr_radiobutton_small_on,ui_radiobutton_small_on.tga,0,0,32,32,0
spr_check_off,ui_empty.tga,0,0,8,8,0
spr_check_on,ui_check_nobox_on.tga,0,0,32,32,0
spr_menuback,ui_scenedit_menu_bkgnd.tga,0,0,8,64,0
spr_menuback_light,ui_scenedit_menu_lightbkgnd.tga,0,0,8,64,0
spr_menuitem,ui_empty.tga,0,0,8,8,0
spr_menuitem_hilite,ui_scenedit_menuitem_hilite.tga,0,0,32,32,0
spr_panelback,ui_scenedit_menu_bkgnd.tga,0,0,8,64,0
spr_extradark_bkgnd,ui_scenedit_bkgnd_extradark.tga,0,0,8,8,0
spr_dark_bkgnd,ui_scenedit_bkgnd_dark.tga,0,0,8,8,0
spr_separator,ui_separator.tga,0,6,8,4,0
spr_separator_vert,ui_separator_vert.tga,0,0,4,8,0
spr_menuitem_separator,ui_separator.tga,0,0,8,16,0
spr_scenedit_button,ui_scenedit_button.tga,0,0,128,40,0
spr_scenedit_button_hiliite,ui_scenedit_button_hilite.tga,0,0,128,40,0
spr_scroll_vert_slider,ui_scroll_vert_slider.tga,0,0,24,64,0
spr_scroll_vert_slider_hilite,ui_scroll_vert_slider_hilite.tga,0,0,24,64,0
spr_scroll_vert_up,ui_scroll_vert_up.tga,0,0,24,24,0
spr_scroll_vert_up_hilite,ui_scroll_vert_up_hilite.tga,0,0,24,24,0
spr_scroll_vert_down,ui_scroll_vert_down.tga,0,0,24,24,0
spr_scroll_vert_down_hilite,ui_scroll_vert_down_hilite.tga,0,0,24,24,0
spr_listitem,ui_empty.tga,0,0,8,8,0
spr_listitem_hilite,ui_scenedit_bkgnd_dark.tga,0,0,8,8,0
spr_combo_triangle,ui_combo_triangle.tga,0,0,20,20,0
spr_scenedit_button2,ui_scenedit_button128x32.tga,0,0,128,32,0
spr_scenedit_button2_hi,ui_scenedit_button128x32_hilite.tga,0,0,128,32,0
spr_scenedit_button2_dis,ui_scenedit_button128x32_disable.tga,0,0,128,32,0
spr_scenedit_button2_small,ui_scenedit_button64x32.tga,0,0,64,32,0
spr_scenedit_button2_small_hi,ui_scenedit_button64x32_hilite.tga,0,0,64,32,0
spr_scenedit_button2_small_dis,ui_scenedit_button64x32_disable.tga,0,0,64,32,0
spr_scenedit_button2_big,ui_scenedit_button256x32.tga,0,0,256,32,0
spr_scenedit_button2_big_hi,ui_scenedit_button256x32_hilite.tga,0,0,256,32,0
spr_scenedit_button2_big_dis,ui_scenedit_button256x32_disable.tga,0,0,256,32,0
spr_scenedit_button_sqr,ui_scenedit_button48x48.tga,8,8,48,48,0
spr_scenedit_button_sqr_hi,ui_scenedit_button48x48_hilite.tga,8,8,48,48,0
spr_scenedit_button_sqr_dis,ui_scenedit_button48x48_disable.tga,8,8,48,48,0
spr_scenedit_leftarrow,ui_leftarrow.tga,0,0,32,48,0
spr_scenedit_leftarrow_hi,ui_leftarrow_hilite.tga,0,0,32,48,0
spr_scenedit_rightarrow,ui_rightarrow.tga,0,0,32,48,0
spr_scenedit_rightarrow_hi,ui_rightarrow_hilite.tga,0,0,32,48,0
spr_folder_closed,ui_folders_medium.tga,0,0,26,22,0
spr_folder_open,ui_folders_medium.tga,32,0,26,22,0

spr_eyedropper_overlay,overlay_eyedropper.tga,2,2,32,32,0
spr_camera_overlay,ui_camera.tga,0,0,32,32,0
spr_movie_play_overlay,ui_movie_play.tga,0,0,32,32,0
spr_movie_pause_overlay,ui_movie_pause.tga,0,0,32,32,0
spr_movie_rewind_overlay,ui_movie_rewind.tga,0,0,32,32,0
spr_movie_ffwd_overlay,ui_movie_ffwd.tga,0,0,32,32,0

spr_progress2_color1,ui_scenedit_bkgnd_extradark.tga,0,0,8,8,0
spr_progress2_color2,ui_scenedit_bkgnd_dark.tga,0,0,8,8,0

spr_redlight,ui_light_red.tga,0,0,32,32,0
spr_greenlight,ui_light_green.tga,0,0,32,32,0
