// NAME,CLASS,PARENT,INC ACCUM DEPTH,ANCHORNAME1,ANCHORTYPE1,ANCHORNAME2,ANCHORTYPE2,XOFF,YOFF,XOFF ANCHOR2,YOFF ANCHOR2,WIDTH,HEIGHT,SPRITE,FRAMESTYLE,BUTTONSTYLE,FONTSTYLE,TEXTJUST,XTEXTOFF,YTEXTOFF,LABEL,TOOLTIP,VERBOSE,NOMOUSE,CMDSTR,ARGSTR

// reusable fe elements,,,,,,,,,,,,,,,,,,,,,,,,,,
fe_int_editbox_small,NumEditText,,0,,,,,0,0,0,0,48,32,spr_black_lowalpha,wfs_ingame_panel_inner,,fs_std_small_white,LeftMid,5,0,,,,0,,""""""
fe_scrollbar,ScrollBar,,0,,,,,0,0,0,0,25,128,spr_fe_scroll_bkg,wfs_fe_scroll_bkg,,,,0,0,,,,0,,"""slider=fe_scrollbar_slider up=fe_scrollbar_up down=fe_scrollbar_down"""
fe_scrollbar_slider,Sprite,,0,,,,,0,0,0,0,25,50,spr_fe_scroll_vert,wfs_fe_scroll_slider,TwoState,,,0,0,,,,0,,""""""
fe_scrollbar_up,Sprite,,0,,,,,0,0,0,0,25,25,spr_fe_scroll_up,,TwoStateRollover,,,0,0,,,,0,,""""""
fe_scrollbar_down,Sprite,,0,,,,,0,0,0,0,25,25,spr_fe_scroll_down,,TwoStateRollover,,,0,0,,,,0,,""""""
fe_basic_button,Button,,0,,,,,0,0,0,0,128,40,spr_fe_button,,TwoState,fs_std_small_white,CenterMid,0,0,,,,0,,"""clickFlags=5"""
fe_basic_button_2,Button,,0,,,,,0,0,0,0,128,40,spr_fe_button_hilite,,TwoState,fs_std_small_white,CenterMid,0,0,,,,0,,"""clickFlags=5"""

// glass slider,,,,,,,,,,,,,,,,,,,,,,,,,,
glass_slider_horiz_bkg,Sprite,,0,,,,,0,0,0,0,128,16,spr_slider_bkg,,,,,0,0,,,,1,,""""""
glass_slider_horiz_bkg_long,Sprite,,0,,,,,0,0,0,0,160,16,spr_slider_bkg,,,,,0,0,,,,1,,""""""
glass_slider_horiz_thumb,Sprite,,0,,,,,0,0,0,0,19,40,spr_slider_thumb,,,,,0,0,,,,1,,""""""
glass_slider_horiz,Slider,,0,,,,,0,0,0,0,128,40,,,,,,0,0,,,,0,,"""sliderSprite=glass_slider_horiz_bkg thumbSprite=glass_slider_horiz_thumb offset=10"""
glass_slider_horiz_long,Slider,,0,,,,,0,0,0,0,160,40,,,,,,0,0,,,,0,,"""sliderSprite=glass_slider_horiz_bkg_long thumbSprite=glass_slider_horiz_thumb offset=10"""

// slider,,,,,,,,,,,,,,,,,,,,,,,,,,
fe_slider_horiz_bkg,Sprite,,0,,,,,0,0,0,0,128,12,spr_fe_slider_horiz_bkg,,,,,0,0,,,,1,,""""""
fe_slider_horiz_bkg_long,Sprite,,0,,,,,0,0,0,0,160,12,spr_fe_slider_horiz_bkg,,,,,0,0,,,,1,,""""""
fe_slider_horiz_thumb,Sprite,,0,,,,,0,0,0,0,20,40,spr_fe_slider_horiz_thumb,,TwoState,,,0,0,,,,1,,""""""
fe_slider_horiz,Slider,,0,,,,,0,0,0,0,128,40,,,,,,0,0,,,,0,,"""sliderSprite=fe_slider_horiz_bkg thumbSprite=fe_slider_horiz_thumb offset=10"""
fe_slider_horiz_long,Slider,,0,,,,,0,0,0,0,160,40,,,,,,0,0,,,,0,,"""sliderSprite=fe_slider_horiz_bkg_long thumbSprite=fe_slider_horiz_thumb offset=10"""

// numeric text field widgets,,,,,,,,,,,,,,,,,,,,,,,,,,
fe_numedittext,NumEditText,,0,,,,,0,0,0,0,64,32,spr_fe_textfield_small,wfs_fe_copper_inset,,fs_std_med_black_feEditText,LeftMid,8,0,,,,0,,"""tileUV"""
fe_floatedittext,FloatEditText,,0,,,,,0,0,0,0,64,32,spr_fe_textfield_small,wfs_fe_copper_inset,,fs_std_med_black_feEditText,LeftMid,8,0,,,,0,,"""tileUV"""
