// NAME,Epoch,Level,FOOD,WOOD,STONE,GOLD,TIN,IRON,SALTPETER,OIL,URANIUM,TECHPTS
Low_1,1,Low,200,200,100,100,0,0,0,0,0,0
Low_4,4,Low,200,200,100,100,0,0,0,0,0,0
Low_7,7,Low,200,200,100,100,0,0,0,0,0,0
Low_10,10,Low,200,200,100,100,0,0,0,0,0,0
Low_13,13,Low,200,200,100,100,0,0,0,0,0,0
LowWithTechPoints_1,1,LowWithTechPoints,200,200,100,100,0,0,0,0,0,8
LowWithTechPoints_4,4,LowWithTechPoints,200,200,100,100,0,0,0,0,0,8
LowWithTechPoints_7,7,LowWithTechPoints,200,200,100,100,0,0,0,0,0,8
LowWithTechPoints_10,10,LowWithTechPoints,200,200,100,100,0,0,0,0,0,8
LowWithTechPoints_13,13,LowWithTechPoints,200,200,100,100,0,0,0,0,0,8
Defensive_1,1,Defensive,200,200,500,100,0,0,0,0,0,0
Defensive_4,4,Defensive,200,200,500,100,0,0,0,0,0,0
Defensive_7,7,Defensive,200,200,500,100,0,0,0,0,0,0
Defensive_10,10,Defensive,200,200,500,100,0,0,0,0,0,0
Defensive_13,13,Defensive,200,200,500,100,0,0,0,0,0,0
Standard_1,1,Standard,400,400,400,400,200,200,200,200,200,0
Standard_4,4,Standard,400,400,400,400,200,200,200,200,200,0
Standard_7,7,Standard,400,400,400,400,200,200,200,200,200,0
Standard_10,10,Standard,400,400,400,400,200,200,200,200,200,0
Standard_13,13,Standard,400,400,400,400,200,200,200,200,200,0
High_1,1,High,800,800,800,800,400,400,400,400,400,0
High_4,4,High,800,800,800,800,400,400,400,400,400,0
High_7,7,High,800,800,800,800,400,400,400,400,400,0
High_10,10,High,800,800,800,800,400,400,400,400,400,0
High_13,13,High,800,800,800,800,400,400,400,400,400,0
DeathMatch_1,1,DeathMatch,15000,15000,10000,10000,7500,7500,7500,7500,7500,16
DeathMatch_4,4,DeathMatch,15000,15000,10000,10000,7500,7500,7500,7500,7500,20
DeathMatch_7,7,DeathMatch,15000,15000,10000,10000,7500,7500,7500,7500,7500,24
DeathMatch_10,10,DeathMatch,15000,15000,10000,10000,7500,7500,7500,7500,7500,28
DeathMatch_13,13,DeathMatch,15000,15000,10000,10000,7500,7500,7500,7500,7500,32
SuperDeathMatch_1,1,SuperDeathMatch,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SuperDeathMatch_4,4,SuperDeathMatch,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SuperDeathMatch_7,7,SuperDeathMatch,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SuperDeathMatch_10,10,SuperDeathMatch,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
SuperDeathMatch_13,13,SuperDeathMatch,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999
