//NAME,FILENAME,VOLUME,LOOP,MAX_INSTANCES,PITCH_VARIATION,DRY,WET
zero_do_not_use,fx_ui_chat.mp3,0,0,0,0,1,0


fx_firetruck_move1,fx_firetruck_move1_15.mp3,0.7,1,3,0,1,0
fx_firetruck_select1,fx_firetruck_select1_15.mp3,1.0,0,1,0,1,0
fx_firetruck_select2,fx_firetruck_select2_15.mp3,1.0,0,1,0,1,0
fx_firetruck_select3,fx_firetruck_select3_15.mp3,1.0,0,1,0,1,0
fx_police_move,fx_police_move_15.mp3,1.5,1,3,0,1,0
fx_police_select1,fx_police_select1_15.mp3,1.0,0,1,0,1,0
fx_police_select2,fx_police_select2_15.mp3,1.0,0,1,0,1,0
fx_police_select3,fx_police_select3_15.mp3,1.0,0,1,0,1,0
fx_police_attack1,fx_police_attack1_15.mp3,1.0,0,1,0,1,0
fx_police_attack2,fx_police_attack2_15.mp3,1.0,0,1,0,1,0
fx_police_attack3,fx_police_attack3_15.mp3,1.0,0,1,0,1,0
fx_bus_select,fx_bus_select_15.mp3,0.75,0,0,0,1,0

v_NeAdvance01,NeAdvance01.mp3,1,0,0,0,1,0
v_NeAgreed01,NeAgreed01.mp3,1,0,0,0,1,0
v_NeAttack01,NeAttack01.mp3,1,0,0,0,1,0
v_NeCharge01,NeCharge01.mp3,1,0,0,0,1,0
v_NeFire03,NeFire03.mp3,1,0,0,0,1,0




v_AvAdvance01,AvAdvance01.mp3,1,0,0,0,1,0
v_AvAgreed01,AvAgreed01.mp3,1,0,0,0,1,0
v_AvAttack01,AvAttack01.mp3,1,0,0,0,1,0
v_AvChangeFormation01,AvChangeFormation01.mp3,1,0,0,0,1,0
v_AvChangeFormation03,AvChangeFormation03.mp3,1,0,0,0,1,0
v_AvCharge01,AvCharge01.mp3,1,0,0,0,1,0
v_AvFire03,AvFire03.mp3,1,0,0,0,1,0
v_AvOpenFire02,AvOpenFire02.mp3,1,0,0,0,1,0
v_AvRally02,AvRally02.mp3,1,0,0,0,1,0






v_PrAdvance01,PrAdvance01.mp3,1,0,0,0,1,0
