//NAME,FILENAME,VOLUME,LOOP,MAX_INSTANCES,PITCH_VARIATION,DRY,WET
zero_do_not_use_ambloop,ambloop_rainlt.wav,0,0,0,0,1,0

//ARID,,,,,,,
ambloop_land_01_arid,ambloop_land_01_arid.wav,1.3,1,0,0,1,0
ambloop_land_02_arid,ambloop_land_02_arid.wav,1.3,1,0,0,1,0
amb_arid_bugs,amb_arid_bugs.mp3,1,0,0,0,1,0
amb_arid_hawk,amb_arid_hawk.mp3,1,0,0,0,1,0
amb_arid_insect_buzz,amb_arid_insect_buzz.mp3,1,0,0,0,1,0
amb_arid_rattler,amb_arid_rattler.mp3,1,0,0,0,1,0

//JUNGLE,,,,,,,
ambloop_land_01_jungle,ambloop_land_01_jungle.wav,0.8,1,0,0,1,0
ambloop_forest_01_jungle,ambloop_forest_01_jungle.wav,1,1,0,0,1,0
ambloop_forest_02_jungle,ambloop_forest_02_jungle.wav,1,1,0,0,1,0
amb_jungle_bird_calling,amb_jungle_bird_calling.mp3,0.8,0,0,0,1,0
amb_jungle_bird_chatting,amb_jungle_bird_chatting.mp3,0.8,0,0,0,1,0
amb_jungle_bird_chatting_2,amb_jungle_bird_chatting_2.mp3,0.8,0,0,0,1,0
amb_jungle_monkey_call,amb_jungle_monkey_call.mp3,0.8,0,0,0,1,0
amb_jungle_thing,amb_jungle_thing.mp3,0.8,0,0,0,1,0
amb_jungle_thing_2,amb_jungle_thing_2.mp3,0.8,0,0,0,1,0
amb_jungle_thing_3,amb_jungle_thing_3.mp3,0.8,0,0,0,1,0
amb_jungle_thing_4,amb_jungle_thing_4.mp3,0.8,0,0,0,1,0
amb_jungle_thing_5,amb_jungle_thing_5.mp3,0.8,0,0,0,1,0
amb_jungle_thing_6,amb_jungle_thing_6.mp3,0.8,0,0,0,1,0

//TEMPERATE,,,,,,,
ambloop_land_01_temp,ambloop_land_01_temp.wav,1,1,0,0,1,0
ambloop_forest_01_temp,ambloop_forest_01_temp.wav,1,1,0,0,1,0
ambloop_forest_02_temp,ambloop_forest_02_temp.wav,1,1,0,0,1,0
amb_temp_bird_call_01,amb_temp_bird_call_01.mp3,0.8,0,0,0,1,0
amb_temp_bird_call_02,amb_temp_bird_call_02.mp3,0.8,0,0,0,1,0
amb_temp_bird_call_03,amb_temp_bird_call_03.mp3,0.8,0,0,0,1,0
amb_temp_crow_solo,amb_temp_crow_solo.mp3,0.8,0,0,0,1,0
amb_temp_hawk_multiple,amb_temp_hawk_multiple.mp3,0.8,0,0,0,1,0
amb_temp_hawk_solo,amb_temp_hawk_solo.mp3,0.8,0,0,0,1,0
amb_temp_loon_call,amb_temp_loon_call.mp3,0.8,0,0,0,1,0

//TUNDRA,,,,,,,
ambloop_tundra_rainlt,fx_amb_rain_1.wav,1,1,0,0,1,0
ambloop_tundra_rainhv,fx_amb_rain_2.wav,1,1,0,0,1,0
ambloop_tundra_snowlt,fx_amb_snow_1.wav,1,1,0,0,1,0
ambloop_tundra_snowhv_01,fx_amb_arc_wind_1.wav,1,1,0,0,1,0
ambloop_tundra_snowhv_02,fx_amb_arc_wind_2.wav,1,1,0,0,1,0
ambloop_tundra_snowhv_03,fx_amb_arc_wind_3.wav,1,1,0,0,1,0
ambloop_tundra_snowhv_04,fx_amb_arc_wind_4.wav,1,1,0,0,1,0
ambloop_sea_tundra_01,fx_amb_ocean_1.mp3,1,1,0,0,1,0
amb_tundra_gulls_01,fx_amb_seagulls_1.mp3,1,0,0,0,1,0
amb_tundra_gulls_02,fx_amb_seagulls_2.mp3,1,0,0,0,1,0
