// NAME,DISPLAYNAME,TOOLTIP,EPOCH,SLOT,BRANCH,ICON,MENU,ROW,COLUMN,HOST,PRODUCE,UPGRADE,TIME,FOOD,WOOD,STONE,GOLD,TIN,IRON,SALTPETER,OIL,URANIUM,TECHPTS,TTCIV,PREREQUISITES,SPECFLAGS
Fire,text_wonder_ME_01_name,,1,0,,,4,3,0,Citizen,Fire,,5,0,100,0,0,0,0,0,0,0,0,,[],(None)
Tavern,text_wonder_ME_01_name,,1,0,,,4,3,1,Citizen,Tavern,TavernUpgradeEpoch1,40,0,200,0,200,0,0,0,0,0,0,,[],(None)
Alchemy,text_wonder_ME_01_name,,4,0,,,4,3,2,Citizen,Alchemy,,50,0,300,0,300,300,0,0,0,0,0,,[],(None)
Minegold,text_wonder_ME_01_name,,4,0,,,4,2,3,Citizen,Minegold,MinegoldUpgradeEpoch4,50,0,500,500,500,0,0,0,0,0,0,,[],(None)
Library,text_wonder_ME_01_name,,1,0,,,4,3,3,Citizen,Library,LibraryUpgradeEpoch1,0,0,0,0,0,0,0,0,0,0,0,,[],(None)
Lumber,text_wonder_ME_01_name,,4,0,,,4,2,0,Citizen,Lumber,LumberUpgradeEpoch1,0,0,0,0,0,0,0,0,0,0,0,,[],(None)
Quarry,text_wonder_ME_01_name,,4,0,,,4,2,1,Citizen,Quarry,QuarryUpgradeEpoch1,0,0,0,0,0,0,0,0,0,0,0,,[],(None)
Granary,text_wonder_ME_01_name,,4,0,,,4,2,2,Citizen,Granary,GranaryUpgradeEpoch2,0,0,0,0,0,0,0,0,0,0,0,,[],(None)
Autofactory,text_wonder_ME_01_name,,11,0,,,4,0,1,Citizen,Autofactory,,50,0,400,400,400,0,0,0,400,0,0,,[],(None)
Chemistry,text_wonder_ME_01_name,,13,0,,,4,1,2,Citizen,Chemistry,,50,0,300,0,300,0,0,0,0,200,0,,[],(None)
SaltPeterFactory,text_wonder_ME_01_name,,7,0,,,4,1,2,Citizen,SaltPeterFactory,,50,0,300,0,300,0,0,200,0,0,0,,[],(None)
Oilref,text_wonder_ME_01_name,,10,0,,,4,1,0,Citizen,Oilref,,50,0,300,0,300,0,0,0,200,0,0,,[],(None)
Ironref,text_wonder_ME_01_name,,4,0,,,4,1,0,Citizen,Ironref,,50,0,300,0,300,0,200,0,0,0,0,,[],(None)
Vineyard,text_wonder_ME_01_name,,4,0,,,4,0,3,Citizen,Vineyard,,50,0,400,400,400,0,0,0,0,0,0,,[],(None)
AIResource,text_wonder_ME_01_name,,4,0,,,4,3,1,Citizen,AIResource,AIResourceUpgradeEpoch4,40,0,100,100,100,0,0,0,0,0,0,,[],(None)
AIResource1,text_wonder_ME_01_name,,1,0,,,4,3,1,Citizen,AIResource1,AIResource1UpgradeEpoch1,40,0,100,100,100,0,0,0,0,0,0,,[],(None)
AIBuilding,text_wonder_ME_01_name,,4,0,,,4,3,1,Citizen,AIBuilding,AIBuildingUpgradeEpoch4,40,0,100,100,100,0,0,0,0,0,0,,[],(None)
