// UPGRADE,UNIT,TYPE,EPOCH,HP,LOS,DAMAGE,RANGE,RELOAD,BUILDTIME,FOOD,WOOD,STONE,GOLD,TIN,IRON,SALTPETER,OIL,URANIUM,DISPLAYNAME,DISPLAYNAME,VISUAL,UI VISUAL,ICON,MMCOLOR,POP CAPACITY,FULLMAP,TOOLTIP,SNDSEL,SNDMOVE,SNDATTACK,SNDDEATH,UPGRADEREFS,CIV
LightInfantryUpgradeEpoch1,LightInfantry,"""Unit""",1,180,7,11,6,2.5,37,30,20,0,0,10,0,0,0,0,tx_utn_LightInf_e1_name,tx_utn_LightInf_e1_pname,LightInfantry_01,,icon_unit_bowman,[0 0 0 0],0,0,vtt_unit_bowman,[v_LightInfantry_01_sel01],[v_LightInfantry_01_com01 v_LightInfantry_01_com02],[v_LightInfantry_01_com01 v_LightInfantry_01_com02 v_LightInfantry_01_spe01],[],[LightInfantry_Improve_Reset LightInfantryEpoch1Attack],All
LightInfantryUpgradeEpoch3,LightInfantry,"""Unit""",3,200,7,12,6,2.5,37,32,25,0,0,12,0,0,0,0,tx_utn_LightInf_e3_name,tx_utn_LightInf_e3_pname,LightInfantry_03,,icon_unit_composite_bowman,[0 0 0 0],0,0,vtt_unit_compositebowman,[v_LightInfantry_03_sel01],[v_LightInfantry_03_com01 v_LightInfantry_03_com02],[v_LightInfantry_03_com01 v_LightInfantry_03_com02 v_LightInfantry_03_spe01],[],[LightInfantry_Improve_Reset LightInfantryEpoch3Attack],All
LightInfantryUpgradeEpoch5,LightInfantry,"""Unit""",5,220,7,15,6,2.5,37,39,29,0,0,14,0,0,0,0,tx_utn_LightInf_e5_name,tx_utn_LightInf_e5_pname,LightInfantry_05,,icon_unit_crossbowman,[0 0 0 0],0,0,vtt_unit_crossbowman,[v_LightInfantry_05_sel01],[v_LightInfantry_05_com01 v_LightInfantry_05_com02],[v_LightInfantry_05_com01 v_LightInfantry_05_com02 v_LightInfantry_05_spe01],[],[LightInfantry_Improve_Reset LightInfantryEpoch5Attack],All
LightInfantryUpgradeEpoch7,LightInfantry,"""Unit""",7,240,8,18,7,2.5,37,44,30,0,0,0,0,19,0,0,tx_utn_LightInf_e7_name,tx_utn_LightInf_e7_pname,LightInfantry_07,,icon_unit_grenadepistoleer,[0 0 0 0],0,0,vtt_unit_grenadepistoleer,[v_LightInfantry_07_sel01],[v_LightInfantry_07_com01 v_LightInfantry_07_com02],[v_LightInfantry_07_com01 v_LightInfantry_07_com02 v_LightInfantry_07_spe01],[],[LightInfantry_Improve_Reset LightInfantryEpoch7Attack],All
LightInfantryUpgradeEpoch9,LightInfantry,"""Unit""",9,260,9,21,8,2.5,37,45,31,0,0,0,0,21,0,0,tx_utn_LightInf_e9_name,tx_utn_LightInf_e9_pname,LightInfantry_09,,icon_unit_grenadier,[0 0 0 0],0,0,vtt_unit_grenadier,[v_LightInfantry_09_sel01],[v_LightInfantry_09_com01 v_LightInfantry_09_com02],[v_LightInfantry_09_com01 v_LightInfantry_09_com02 v_LightInfantry_09_spe01],[],[LightInfantry_Improve_Reset LightInfantryEpoch9Attack],All
LightInfantryUpgradeEpoch11,LightInfantry,"""Unit""",11,345,10,23,10,2.0,35,50,0,0,31,0,0,0,0,0,tx_utn_hvyInf1_e11_name,tx_utn_hvyInf1_e11_pname,HeavyInfantry1_11,,icon_unit_rifleman,[0 0 0 0],0,0,vtt_unit_rifleman,[v_LightInfantry_11_sel01],[v_LightInfantry_11_com01 v_LightInfantry_11_com02],[v_LightInfantry_11_com01 v_LightInfantry_11_com02 v_LightInfantry_11_spe01],[],[LightInfantry_Improve_Reset HeavyInfantry1Epoch11Attack],All
LightInfantryUpgradeEpoch13,LightInfantry,"""Unit""",13,645,12,15,12,0.5,35,23,0,0,14,0,0,0,0,0,tx_utn_hvyInf1_e13_name,tx_utn_hvyInf1_e13_pname,HeavyInfantry1_13,,icon_unit_assaultrifleman,[0 0 0 0],0,0,vtt_unit_assaultrifleman,[v_LightInfantry_13_sel01],[v_LightInfantry_13_com01 v_LightInfantry_13_com02],[v_LightInfantry_13_com01 v_LightInfantry_13_com02 v_LightInfantry_13_spe01],[],[LightInfantry_Improve_Reset HeavyInfantry1Epoch13Attack],All
LightInfantryUpgradeEpoch15,LightInfantry,"""Unit""",15,455,12,17,12,0.5,35,58,0,0,35,0,0,0,0,0,tx_utn_hvyInf1_e15_name,tx_utn_hvyInf1_e15_pname,HeavyInfantry1_15,,icon_unit_objectiveforcewarrior,[0 0 0 0],0,0,vtt_unit_objectiveforcewarrior,[v_LightInfantry_15_sel01],[v_LightInfantry_15_com01 v_LightInfantry_15_com02],[v_LightInfantry_15_com01 v_LightInfantry_15_com02 v_LightInfantry_15_spe01],[],[LightInfantry_Improve_Reset HeavyInfantry1Epoch15Attack],All
HeavyInfantry1UpgradeEpoch1,HeavyInfantry1,"""Unit""",1,220,5,12,1.2,1.5,37,35,0,0,15,10,0,0,0,0,tx_utn_hvyInf1_e1_name,tx_utn_hvyInf1_e1_pname,HeavyInfantry1_01,,icon_unit_maceman,[0 0 0 0],0,0,vtt_unit_maceman,[v_HeavyInfantry1_01_sel01],[v_HeavyInfantry1_01_spe01 v_HeavyInfantry1_01_com01 v_HeavyInfantry1_01_com02],[v_HeavyInfantry1_01_spe01 v_HeavyInfantry1_01_com01 v_HeavyInfantry1_01_com02],[],[HeavyInfantry_Improve_Reset HeavyInfantry1Epoch1Attack],All
HeavyInfantry1UpgradeEpoch3,HeavyInfantry1,"""Unit""",3,240,5,14,1.2,1.5,37,37,0,0,25,12,0,0,0,0,tx_utn_hvyInf1_e3_name,tx_utn_hvyInf1_e3_pname,HeavyInfantry1_03,,icon_unit_swordsman,[0 0 0 0],0,0,vtt_unit_swordsman,[v_HeavyInfantry1_03_sel01],[v_HeavyInfantry1_03_spe01 v_HeavyInfantry1_03_com01 v_HeavyInfantry1_03_com02],[v_HeavyInfantry1_03_spe01 v_HeavyInfantry1_03_com01 v_HeavyInfantry1_03_com02],[],[HeavyInfantry_Improve_Reset HeavyInfantry1Epoch3Attack],All
