//Terrain Type,High detail texture,Medium Detail Texture,Low Detail Texture,Dust Type,MINIMAP_FILENAME,ZMIN,ZMAX,MOVETYPE,GRASS LAYER
# DbTerrainTexture_ = Tundra,,,,,,,,,
GrassTundra,Grass_Tundra,Grass_Tundra,Grass_Tundra,Snow Snow Snow Snow Dirt Dirt Dirt Dirt Dirt Snow Snow Snow ,terr_16_arctic_tundra_grass.bmp,0,0,kTerrainMoveType_Land,0
GrassTundra2,Grass_Tundra2,Grass_Tundra2,Grass_Tundra2,Snow Snow Snow Snow Dirt Dirt Dirt Dirt Dirt Snow Snow Snow ,terr_16_arctic_tundra_grass2.bmp,0,0,kTerrainMoveType_Land,0
GrassTundra3,Grass_Tundra3,Grass_Tundra3,Grass_Tundra3,Snow Snow Snow Snow Dirt Dirt Dirt Dirt Dirt Snow Snow Snow ,terr_16_arctic_tundra_grass3.bmp,0,0,kTerrainMoveType_Land,0
GrassTundra4,Grass_Tundra4,Grass_Tundra4,Grass_Tundra4,Snow Snow Snow Snow Dirt Dirt Dirt Dirt Dirt Snow Snow Snow ,terr_16_arctic_tundra_grass4.bmp,0,0,kTerrainMoveType_Land,0
IceySnow,IceySnow_arctic,IceySnow_arctic,IceySnow_arctic,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_icey_snow.bmp,0,0,kTerrainMoveType_Land,0
MountainArctic,Mountain_Arctic,Mountain_Arctic,Mountain_Arctic,Snow Snow Snow Snow Dirt Dirt Dirt Dirt Dirt Snow Snow Snow ,terr_16_arctic_mountain.bmp,8,9999,kTerrainMoveType_Mountain,0
MountainArctic2,Mountain_Arctic2,Mountain_Arctic2,Mountain_Arctic2,Snow Snow Snow Snow Dirt Dirt Dirt Sand Sand Snow Snow Snow ,terr_16_temperate_cliff02.bmp,8,9999,kTerrainMoveType_Mountain,0
ArcticOcean_Base,Arctic_Ocean_Base,Arctic_Ocean_Base,Arctic_Ocean_Base,Snow Snow Snow Snow Dirt Dirt Dirt Dirt Dirt Snow Snow Snow ,terr_16_arctic_ocean_base.bmp,0,0,kTerrainMoveType_Land,0
ArcticRocky_Snow,Arctic_Rocky_Snow,Arctic_Rocky_Snow,Arctic_Rocky_Snow,Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow ,terr_16_arctic_rocky_snow.bmp,0,0,kTerrainMoveType_Land,0
ArcticRough_Snow,Arctic_Rough_Snow,Arctic_Rough_Snow,Arctic_Rough_Snow,Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow ,terr_16_arctic_rough_snow.bmp,0,0,kTerrainMoveType_Land,0
ArcticShore_Base,Arctic_Shore_Base,Arctic_Shore_Base,Arctic_Shore_Base,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_shore_base.bmp,0,0,kTerrainMoveType_Land,0
ArcticSnow_Riverbank,Arctic_Snow_Riverbank,Arctic_Snow_Riverbank,Arctic_Snow_Riverbank,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Sand Sand Dirt Dirt Dirt ,terr_16_arctic_snow_riverbank.bmp,0,0,kTerrainMoveType_Land,0
MountainArctic_Snow,Mountain_Arctic_Snow,Mountain_Arctic_Snow,Mountain_Arctic_Snow,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Sand Sand Dirt Dirt Dirt ,terr_16_arctic_snow_drift.bmp,0,0,kTerrainMoveType_Land,0
MountainArctic_Snow2,Mountain_Arctic_Snow2,Mountain_Arctic_Snow2,Mountain_Arctic_Snow2,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Sand Sand Dirt Dirt Dirt ,terr_16_arctic_snow_drift.bmp,0,0,kTerrainMoveType_Mountain,0
ArcticDirtySnow,Arctic_DirtySnow,Arctic_DirtySnow,Arctic_DirtySnow,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_dirty_snow.bmp,0,0,kTerrainMoveType_Land,0
OceanFloor,OceanFloor_Tundra,OceanFloor_Tundra,OceanFloor_Tundra,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_water_riverbed.bmp,-9999,-2,kTerrainMoveType_Ocean,0
ShallowWater,ShallowWater_Tundra,ShallowWater_Tundra,ShallowWater_Tundra,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_water_riverbed.bmp,0,0,kTerrainMoveType_River,0
Coastal,Coastal_Tundra,Coastal_Tundra,Coastal_Tundra,Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt Dirt ,terr_16_water_riverbed.bmp,-2,0,kTerrainMoveType_Coast,0
Arctic_snowdrift,Arctic_snow_drift,Arctic_snow_drift,Arctic_snow_drift,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_snow_drift.bmp,0,0,kTerrainMoveType_Land,0
arctic_densesnow,arctic_dense_snow,arctic_dense_snow,arctic_dense_snow,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_snow_drift.bmp,0,0,kTerrainMoveType_Land,0
arcticsnow1,arctic_snow1,arctic_snow1,arctic_snow1,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_snow1.bmp,0,0,kTerrainMoveType_Land,0
arcticsnow2,arctic_snow2,arctic_snow2,arctic_snow2,Snow Snow Snow Snow Snow Snow Snow Sand Sand Snow Snow Snow ,terr_16_arctic_snow2.bmp,0,0,kTerrainMoveType_Land,0
arcticsnow3,arctic_snow3,arctic_snow3,arctic_snow3,Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow Snow ,terr_16_arctic_snow2.bmp,0,0,kTerrainMoveType_Land,0
