//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS
////////////////////////////////////////////////////,,,,,,
// buttons for veteran/elite upgrades,,,,,,
icon_tech_Stryker11,icon_unit_lancia.tga,0,0,60,60,0
icon_tech_Stryker11_r,icon_unit_lancia.tga,0,0,60,60,0
icon_tech_Stryker11_p,icon_unit_lancia.tga,0,0,60,60,0
icon_tech_Stryker11_rp,icon_unit_lancia.tga,0,0,60,60,0

icon_tech_ArmoredCar12,icon_unit_sdkfz222.tga,0,0,60,60,0
icon_tech_ArmoredCar12_r,icon_unit_sdkfz222.tga,0,0,60,60,0
icon_tech_ArmoredCar12_p,icon_unit_sdkfz222.tga,0,0,60,60,0
icon_tech_ArmoredCar12_rp,icon_unit_sdkfz222.tga,0,0,60,60,0
icon_tech_ArmoredCar13,icon_unit_BTR70.tga,0,0,60,60,0
icon_tech_ArmoredCar13_r,icon_unit_BTR70.tga,0,0,60,60,0
icon_tech_ArmoredCar13_p,icon_unit_BTR70.tga,0,0,60,60,0
icon_tech_ArmoredCar13_rp,icon_unit_BTR70.tga,0,0,60,60,0
icon_tech_ArmoredCar14,icon_unit_AsianAPC.tga,0,0,60,60,0
icon_tech_ArmoredCar14_r,icon_unit_AsianAPC.tga,0,0,60,60,0
icon_tech_ArmoredCar14_p,icon_unit_AsianAPC.tga,0,0,60,60,0
icon_tech_ArmoredCar14_rp,icon_unit_AsianAPC.tga,0,0,60,60,0
icon_tech_ArmoredCar15,icon_unit_SciFiAPC.tga,0,0,60,60,0
icon_tech_ArmoredCar15_r,icon_unit_SciFiAPC.tga,0,0,60,60,0
icon_tech_ArmoredCar15_p,icon_unit_SciFiAPC.tga,0,0,60,60,0
icon_tech_ArmoredCar15_rp,icon_unit_SciFiAPC.tga,0,0,60,60,0

icon_tech_FT17,icon_unit_FT17_gunk.tga,0,0,60,60,0
icon_tech_FT17_r,icon_unit_FT17_gunk.tga,0,0,60,60,0
icon_tech_FT17_p,icon_unit_FT17_gunk.tga,0,0,60,60,0
icon_tech_FT17_rp,icon_unit_FT17_gunk.tga,0,0,60,60,0
icon_tech_M4Firefly,icon_unit_M4Firefly.tga,0,0,60,60,0
icon_tech_M4Firefly_r,icon_unit_M4Firefly.tga,0,0,60,60,0
icon_tech_M4Firefly_p,icon_unit_M4Firefly.tga,0,0,60,60,0
icon_tech_M4Firefly_rp,icon_unit_M4Firefly.tga,0,0,60,60,0
icon_tech_M48A1,icon_unit_M48A1.tga,0,0,60,60,0
icon_tech_M48A1_r,icon_unit_M48A1.tga,0,0,60,60,0
icon_tech_M48A1_p,icon_unit_M48A1.tga,0,0,60,60,0
icon_tech_M48A1_rp,icon_unit_M48A1.tga,0,0,60,60,0
icon_tech_M1A1,icon_unit_abrams.tga,0,0,60,60,0
icon_tech_M1A1_r,icon_unit_abrams.tga,0,0,60,60,0
icon_tech_M1A1_p,icon_unit_abrams.tga,0,0,60,60,0
icon_tech_M1A1_rp,icon_unit_abrams.tga,0,0,60,60,0
icon_tech_RmidonTank,icon_unit_casterrpg.tga,0,0,60,60,0
icon_tech_RmidonTank_r,icon_unit_casterrpg.tga,0,0,60,60,0
icon_tech_RmidonTank_p,icon_unit_casterrpg.tga,0,0,60,60,0
icon_tech_RmidonTank_rp,icon_unit_casterrpg.tga,0,0,60,60,0

icon_tech_tankrenault,icon_unit_tankrenault.tga,0,0,60,60,0
icon_tech_tankrenault_r,icon_unit_tankrenault.tga,0,0,60,60,0
icon_tech_tankrenault_p,icon_unit_tankrenault.tga,0,0,60,60,0
icon_tech_tankrenault_rp,icon_unit_tankrenault.tga,0,0,60,60,0
icon_tech_uptigertank12,icon_unit_tigertank12.tga,0,0,60,60,0
icon_tech_uptigertank12_r,icon_unit_tigertank12.tga,0,0,60,60,0
icon_tech_uptigertank12_p,icon_unit_tigertank12.tga,0,0,60,60,0
icon_tech_uptigertank12_rp,icon_unit_tigertank12.tga,0,0,60,60,0
icon_tech_upT72,icon_unit_T72.tga,0,0,60,60,0
icon_tech_upT72_r,icon_unit_T72.tga,0,0,60,60,0
icon_tech_upT72_p,icon_unit_T72.tga,0,0,60,60,0
icon_tech_upT72_rp,icon_unit_T72.tga,0,0,60,60,0
icon_tech_upM1A2,icon_unit_M1A2.tga,0,0,60,60,0
icon_tech_upM1A2_r,icon_unit_M1A2.tga,0,0,60,60,0
icon_tech_upM1A2_p,icon_unit_M1A2.tga,0,0,60,60,0
icon_tech_upM1A2_rp,icon_unit_M1A2.tga,0,0,60,60,0
icon_tech_upSciFiTankMk3,icon_unit_SciFiTankMk3.tga,0,0,60,60,0
icon_tech_upSciFiTankMk3_r,icon_unit_SciFiTankMk3.tga,0,0,60,60,0
icon_tech_upSciFiTankMk3_p,icon_unit_SciFiTankMk3.tga,0,0,60,60,0
icon_tech_upSciFiTankMk3_rp,icon_unit_SciFiTankMk3.tga,0,0,60,60,0


icon_tech_AirDefense13,icon_unit_stingerhumvee.tga,0,0,60,60,0
icon_tech_AirDefense13_r,icon_unit_stingerhumvee.tga,0,0,60,60,0
icon_tech_AirDefense13_p,icon_unit_stingerhumvee.tga,0,0,60,60,0
icon_tech_AirDefense13_rp,icon_unit_stingerhumvee.tga,0,0,60,60,0
icon_tech_AirDefense14,icon_unit_PAC3.tga,0,0,60,60,0
icon_tech_AirDefense14_r,icon_unit_PAC3.tga,0,0,60,60,0
icon_tech_AirDefense14_p,icon_unit_PAC3.tga,0,0,60,60,0
icon_tech_AirDefense14_rp,icon_unit_PAC3.tga,0,0,60,60,0
icon_tech_AirDefense15,icon_unit_PaladinPointDefense.tga,0,0,60,60,0
icon_tech_AirDefense15_r,icon_unit_PaladinPointDefense.tga,0,0,60,60,0
icon_tech_AirDefense15_p,icon_unit_PaladinPointDefense.tga,0,0,60,60,0
icon_tech_AirDefense15_rp,icon_unit_PaladinPointDefense.tga,0,0,60,60,0

icon_tech_upLightArtillery12,icon_unique_tigertank.tga,0,0,60,60,0
icon_tech_upLightArtillery12_r,icon_unique_tigertank.tga,0,0,60,60,0
icon_tech_upLightArtillery12_p,icon_unique_tigertank.tga,0,0,60,60,0
icon_tech_upLightArtillery12_rp,icon_unique_tigertank.tga,0,0,60,60,0
icon_tech_upLightArtillery13,icon_unit_ZDF89.tga,0,0,60,60,0
icon_tech_upLightArtillery13_r,icon_unit_ZDF89.tga,0,0,60,60,0
icon_tech_upLightArtillery13_p,icon_unit_ZDF89.tga,0,0,60,60,0
icon_tech_upLightArtillery13_rp,icon_unit_ZDF89.tga,0,0,60,60,0
icon_tech_upLightArtillery14,icon_unit_RPGStriker.tga,0,0,60,60,0
icon_tech_upLightArtillery14_r,icon_unit_RPGStriker.tga,0,0,60,60,0
icon_tech_upLightArtillery14_p,icon_unit_RPGStriker.tga,0,0,60,60,0
icon_tech_upLightArtillery14_rp,icon_unit_RPGStriker.tga,0,0,60,60,0
icon_tech_upLightArtillery15,icon_unit_fusion_caster.tga,0,0,60,60,0
icon_tech_upLightArtillery15_r,icon_unit_fusion_caster.tga,0,0,60,60,0
icon_tech_upLightArtillery15_p,icon_unit_fusion_caster.tga,0,0,60,60,0
icon_tech_upLightArtillery15_rp,icon_unit_fusion_caster.tga,0,0,60,60,0

