//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS

// flags,,,,,,
spr_flag_naval,UI_flag_naval.tga,0,0,64,32,0
spr_flag_naval_pc,UI_flag_naval_pc.tga,0,0,64,32,0
spr_flag_air,UI_flag_air.tga,0,0,64,32,0
spr_flag_air_pc,UI_flag_air_pc.tga,0,0,64,32,0
spr_flag_infantry,UI_flag_infantry.tga,0,0,64,32,0
spr_flag_infantry_pc,UI_flag_infantry_pc.tga,0,0,64,32,0
spr_flag_mobile,UI_flag_mobile.tga,0,0,64,32,0
spr_flag_mobile_pc,UI_flag_mobile_pc.tga,0,0,64,32,0
spr_flag_machine,UI_flag_machine.tga,0,0,64,32,0
spr_flag_machine_pc,UI_flag_machine_pc.tga,0,0,64,32,0
spr_flag_cultural,UI_flag_cultural.tga,0,0,64,32,0
spr_flag_cultural_pc,UI_flag_cultural_pc.tga,0,0,64,32,0
spr_flag_religious,UI_flag_religious.tga,0,0,64,32,0
spr_flag_religious_pc,UI_flag_religious_pc.tga,0,0,64,32,0
spr_flag_financial,UI_flag_financial.tga,0,0,64,32,0
spr_flag_financial_pc,UI_flag_financial_pc.tga,0,0,64,32,0

// flags power icons (for unitinfo icons),,,,,,
icon_flag_naval,icon_flag_naval.tga,0,0,32,32,0
icon_flag_air,icon_flag_air.tga,0,0,32,32,0
icon_flag_infantry,icon_flag_infantry.tga,0,0,32,32,0
icon_flag_mobile,icon_flag_mobile.tga,0,0,32,32,0
icon_flag_machine,icon_flag_machine.tga,0,0,32,32,0
icon_flag_cultural,icon_flag_cultural.tga,0,0,32,32,0
icon_flag_religious,icon_flag_religious.tga,0,0,32,32,0
icon_flag_financial,icon_flag_financial.tga,0,0,32,32,0

// endgame banners,,,,,,
spr_bkg_endgame_win_1_af,ui_endgame_win_1_af.tga,0,0,768,512,0
spr_bkg_endgame_win_2_af,ui_endgame_win_2_af.tga,0,0,768,512,0
spr_bkg_endgame_win_3_af,ui_endgame_win_3_af.tga,0,0,768,512,0
spr_bkg_endgame_win_4_af,ui_endgame_win_4_af.tga,0,0,768,512,0
spr_bkg_endgame_win_5_af,ui_endgame_win_5_af.tga,0,0,768,512,0
spr_bkg_endgame_lose_1_af,ui_endgame_lose_1_af.tga,0,0,768,512,0
spr_bkg_endgame_lose_2_af,ui_endgame_lose_2_af.tga,0,0,768,512,0
spr_bkg_endgame_lose_3_af,ui_endgame_lose_3_af.tga,0,0,768,512,0
spr_bkg_endgame_lose_4_af,ui_endgame_lose_4_af.tga,0,0,768,512,0
spr_bkg_endgame_lose_5_af,ui_endgame_lose_5_af.tga,0,0,768,512,0

//Region power icons (normal state- pressed state - uncharged state),,,,,,
icon_regionpower_sotribe,icon_regionpower_spiritoftribe.tga,25,25,77,77,0
icon_regionpower_sotribe_p,icon_regionpower_spiritoftribe_pressed.tga,25,25,77,77,0
