// NAME,DISPLAY NAME,PARENT FOLDER,IS FOLDER,LINK,ARGS
// GETTING STARTED,,,,,
eee_sb_gstarted_f,tx_eee_sb_gstarted_root,"""""",1,"""eee_contents_info_gstarted""",""""""
eee_sb_gstarted_sp,tx_eee_sb_gstarted_sp,eee_sb_gstarted_f,0,"""eee_contents_info_sp""",""""""
eee_sb_gstarted_mp,tx_eee_sb_gstarted_mp,eee_sb_gstarted_f,0,"""eee_contents_tinfo_mp""",""""""
eee_sb_gstarted_gametypes,tx_eee_sb_gstarted_gametypes,eee_sb_gstarted_f,1,"""eee_contents_info_gametypes""",""""""
eee_sb_gt_conquest,tx_eee_sb_gt_conquest,eee_sb_gstarted_gametypes,0,"""eee_contents_info_gt_conquest""",""""""
eee_sb_gt_crowns,tx_eee_sb_gt_crowns,eee_sb_gstarted_gametypes,0,"""eee_contents_tinfo_gt_crowns""",""""""
eee_sb_gt_kinghill,tx_eee_sb_gt_kinghill,eee_sb_gstarted_gametypes,0,"""eee_contents_info_gt_kinghill""",""""""
eee_sb_gt_capitols,tx_eee_sb_gt_capitols,eee_sb_gstarted_gametypes,0,"""eee_contents_tinfo_gt_capitols""",""""""
eee_sb_gt_regicide,tx_eee_sb_gt_regicide,eee_sb_gstarted_gametypes,0,"""eee_contents_info_gt_regicide""",""""""
eee_sb_gt_hotspots,tx_eee_sb_gt_hotspots,eee_sb_gstarted_gametypes,0,"""eee_contents_info_gt_hotspots""",""""""
eee_sb_gt_territories,tx_eee_sb_gt_territories,eee_sb_gstarted_gametypes,0,"""eee_contents_info_gt_terrs""",""""""
eee_sb_gt_terrhotspots,tx_eee_gt_terrhotspots_title,eee_sb_gstarted_gametypes,0,"""eee_contents_info_gt_terrhot""",""""""
eee_sb_gt_tugofwar,tx_eee_gt_tugofwar_title,eee_sb_gstarted_gametypes,0,"""eee_contents_tinfo_gt_tugofwar""",""""""
eee_sb_gstarted_random,tx_eee_sb_gstarted_random,eee_sb_gstarted_f,0,"""eee_contents_info_mapgen""",""""""
eee_sb_gstarted_campscen_f,tx_eee_sb_gstarted_campscen,eee_sb_gstarted_f,1,"""eee_contents_info_campscen""",""""""
eee_sb_gstarted_camp,tx_eee_sb_gstarted_camp,eee_sb_gstarted_campscen_f,0,"""eee_contents_tinfo_camp""",""""""
eee_sb_gstarted_tpoints,tx_eee_sb_gstarted_tpoints,eee_sb_gstarted_campscen_f,0,"""eee_contents_tinfo_tpoints""",""""""
//eee_sb_gstarted_options_f,tx_eee_sb_gstarted_options,eee_sb_gstarted_f,1,"""eee_contents_info_options""",""""""
//eee_sb_gstarted_optionsvid,tx_eee_sb_gstarted_optionsvid,eee_sb_gstarted_options_f,0,"""eee_contents_info_optionsvid""",""""""
//eee_sb_gstarted_optionssnd,tx_eee_sb_gstarted_optionssnd,eee_sb_gstarted_options_f,0,"""eee_contents_info_optionssnd""",""""""
//eee_sb_gstarted_optionsgame,tx_eee_sb_gstarted_optionsgame,eee_sb_gstarted_options_f,0,"""eee_contents_info_optionsgame""",""""""
eee_sb_gstarted_tutorials,tx_eee_sb_gstarted_tutorials,eee_sb_gstarted_f,0,"""eee_contents_info_tutorials""",""""""
// INTERFACE AND USER CONTROLS,,,,,
eee_sb_ui_f,tx_eee_sb_ui_root,"""""",1,"""eee_contents_info_ui""",""""""
eee_sb_ui_mainscreen,tx_eee_sb_ui_mainscreen,eee_sb_ui_f,0,"""eee_contents_tinfo_mainscreen""",""""""
eee_sb_ui_selectpanel,tx_eee_sb_ui_selectpanel,eee_sb_ui_f,0,"""eee_contents_info_selectpanel""",""""""
//eee_sb_ui_ctrlgroupsdisp,tx_eee_sb_ui_ctrlgroupsdisp,eee_sb_ui_f,0,"""eee_contents_info_ctrlgroupdisp""",""""""
//eee_sb_ui_crownsUI,tx_eee_sb_ui_crownsUI,eee_sb_ui_f,0,"""eee_contents_tinfo_crownsUI""",""""""
//eee_sb_ui_playerinfoUI,tx_eee_sb_ui_playerinfoUI,eee_sb_ui_f,0,"""eee_contents_info_playerinfoUI""",""""""
eee_sb_ui_fullscreenmap_f,tx_eee_sb_ui_fullscreenmap,eee_sb_ui_f,1,"""eee_contents_info_fullscreenmap""",""""""
eee_sb_ui_citresman,tx_eee_sb_ui_citman,eee_sb_ui_fullscreenmap_f,0,"""eee_contents_info_citman""",""""""
eee_sb_ui_fsmPIP,tx_eee_sb_ui_fsmPIP,eee_sb_ui_fullscreenmap_f,0,"""eee_contents_info_fsmPIP""",""""""
eee_sb_ui_warplans,tx_eee_sb_ui_warplans,eee_sb_ui_fullscreenmap_f,0,"""eee_contents_info_warplans""",""""""
eee_sb_ui_ctrlgrpwp,tx_eee_sb_ui_ctrlgrpwp,eee_sb_ui_fullscreenmap_f,0,"""eee_contents_info_ctrlgrpwp""",""""""
eee_sb_ui_pip,tx_eee_sb_ui_PIP,eee_sb_ui_f,0,"""eee_contents_info_PIP""",""""""
//eee_sb_ui_minimap,tx_eee_sb_ui_minimap,eee_sb_ui_f,0,"""eee_contents_info_minimap""",""""""
eee_sb_ui_tooltips,tx_eee_sb_ui_tooltips,eee_sb_ui_f,0,"""eee_contents_info_tooltips""",""""""
eee_sb_ui_gamealerts,tx_eee_sb_ui_gamealerts,eee_sb_ui_f,0,"""eee_contents_info_gamealerts""",""""""
eeb_sb_ui_playercolor,tx_eee_sb_ui_playercolor,eee_sb_ui_f,0,"""eee_contents_info_playercolor""",""""""
eeb_sb_ui_camera,tx_eee_sb_ui_camera,eee_sb_ui_f,0,"""eee_contents_info_camera""",""""""
eeb_sb_ui_reinf,tx_eee_sb_ui_reinf,eee_sb_ui_f,0,"""eee_contents_info_reinf""",""""""
// YOUR WORLD,,,,,
eee_sb_yourworld_f,tx_eee_sb_yourworld_root,"""""",1,"""eee_contents_info_yourworld""",""""""
eeb_sb_yourworld_yourview,tx_eee_sb_yourworld_view,eee_sb_yourworld_f,0,"""eee_contents_tinfo_yourview""",""""""
eeb_sb_yourworld_climates,tx_eee_sb_yourworld_climates,eee_sb_yourworld_f,0,"""eee_contents_tinfo_climates""",""""""
eeb_sb_yourworld_weather,tx_eee_sb_yourworld_weather,eee_sb_yourworld_f,0,"""eee_contents_info_weather""",""""""
eee_sb_yourworld_geography,tx_eee_sb_yourworld_geography,eee_sb_yourworld_f,0,"""eee_contents_tinfo_geography""",""""""
eee_sb_yourworld_cities,tx_eee_sb_yourworld_cities,eee_sb_yourworld_f,0,"""eee_contents_info_cities""",""""""
eee_sb_yourworld_roads,tx_eee_sb_yourworld_roads,eee_sb_yourworld_f,0,"""eee_contents_info_roads""",""""""
eee_sb_yourworld_bridges,tx_eee_sb_yourworld_bridges,eee_sb_yourworld_f,0,"""eee_contents_info_bridges""",""""""
eee_sb_yourworld_regions_f,tx_eee_sb_yourworld_regions,eee_sb_yourworld_f,1,"""eee_contents_info_regions""",""""""
eee_sb_yourworld_regionWE,tx_eee_sb_yourworld_regionWE,eee_sb_yourworld_regions_f,0,"""eee_contents_tinfo_regionWE""",""""""
eee_sb_yourworld_regionFE,tx_eee_sb_yourworld_regionFE,eee_sb_yourworld_regions_f,0,"""eee_contents_tinfo_regionFE""",""""""
eee_sb_yourworld_regionME,tx_eee_sb_yourworld_regionME,eee_sb_yourworld_regions_f,0,"""eee_contents_tinfo_regionME""",""""""
eee_sb_yourworld_regionAM,tx_eee_sb_yourworld_regionAM,eee_sb_yourworld_regions_f,0,"""eee_contents_tinfo_regionAM""",""""""
eee_sb_yourworld_regionAF,tx_eee_sb_yourworld_regionAF,eee_sb_yourworld_regions_f,0,"""eee_contents_tinfo_regionAF""",""""""
eee_sb_yourworld_civ,tx_eee_sb_yourworld_civ,eee_sb_yourworld_f,0,"""eee_contents_tinfo_civ""",""""""
// GAME SYSTEMS,,,,,
eee_sb_systems_f,tx_eee_sb_systems_root,"""""",1,"""eee_contents_info_systems""",""""""
eee_sb_systems_territories,tx_eee_sb_systems_territories,eee_sb_systems_f,0,"""eee_contents_info_territories""",""""""
eee_sb_systems_epoch,tx_eee_sb_systems_epoch,eee_sb_systems_f,0,"""eee_contents_tinfo_epoch""",""""""
eee_sb_systems_tech,tx_eee_sb_systems_tech,eee_sb_systems_f,0,"""eee_contents_tinfo_tech""",""""""
eee_sb_systems_combat,tx_eee_sb_systems_combat,eee_sb_systems_f,0,"""eee_contents_tinfo_combat""",""""""
eee_sb_systems_formations_f,tx_eee_sb_systems_formations,eee_sb_systems_f,1,"""eee_contents_info_formations""",""""""
eee_sb_systems_formLand,tx_eee_sb_systems_formLand,eee_sb_systems_formations_f,0,"""eee_contents_tinfo_formLand""",""""""
//eee_sb_systems_formAir,tx_eee_sb_systems_formAir,eee_sb_systems_formations_f,0,"""eee_contents_tinfo_formAir""",""""""
eee_sb_systems_formSea,tx_eee_sb_systems_formSea,eee_sb_systems_formations_f,0,"""eee_contents_tinfo_formSea""",""""""
eee_sb_systems_pop,tx_eee_sb_systems_pop,eee_sb_systems_f,0,"""eee_contents_info_pop""",""""""
eee_sb_systems_resources_f,tx_eee_sb_systems_resources,eee_sb_systems_f,1,"""eee_contents_info_resources""",""""""
eee_sb_systems_gathering,tx_eee_sb_systems_gathering,eee_sb_systems_resources_f,0,"""eee_contents_tinfo_gathering""",""""""
eee_sb_systems_techpoints,tx_eee_sb_systems_techpoints,eee_sb_systems_resources_f,0,"""eee_contents_info_techpoints""",""""""
eee_sb_systems_specres,tx_eee_sb_systems_specres,eee_sb_systems_resources_f,0,"""eee_contents_info_specres""",""""""
eee_sb_systems_crowns_f,tx_eee_sb_systems_crowns,eee_sb_systems_f,1,"""eee_contents_info_crowns""",""""""
eee_sb_systems_milcrown,tx_eee_sb_systems_milcrown,eee_sb_systems_crowns_f,0,"""eee_contents_tinfo_milcrown""",""""""
eee_sb_systems_impcrown,tx_eee_sb_systems_impcrown,eee_sb_systems_crowns_f,0,"""eee_contents_tinfo_impcrown""",""""""
eee_sb_systems_ecocrown,tx_eee_sb_system_ecocrown,eee_sb_systems_crowns_f,0,"""eee_contents_tinfo_ecocrown""",""""""
eee_sb_systems_flags_f,tx_eee_sb_systems_flags,eee_sb_systems_f,1,"""eee_contents_info_flags""",""""""
eee_sb_systems_flagpowers,tx_eee_sb_systems_flagpowers,eee_sb_systems_flags_f,0,"""eee_contents_tinfo_flagpowers""",""""""
eee_sb_systems_earningflags,tx_eee_sb_systems_earningflags,eee_sb_systems_flags_f,0,"""eee_contents_info_earningflags""",""""""
eee_sb_systems_diplomacy_f,tx_eee_sb_system_diplomacy,eee_sb_systems_f,1,"""eee_contents_tinfo_diplomacy""",""""""
eee_sb_systems_propose,tx_eee_sb_system_propose,eee_sb_systems_diplomacy_f,0,"""eee_contents_tinfo_propose""",""""""
eee_sb_systems_declarewar,tx_eee_sb_system_declarewar,eee_sb_systems_diplomacy_f,0,"""eee_contents_info_declarewar""",""""""
eee_sb_systems_fealty,tx_eee_sb_system_fealty,eee_sb_systems_diplomacy_f,0,"""eee_contents_info_fealty""",""""""
