//NAME,CLASS,PARENT,INC ACCUM DEPTH,ANCHORNAME1,ANCHORTYPE1,ANCHORNAME2,ANCHORTYPE2,XOFF,YOFF,XOFF ANCHOR2,YOFF ANCHOR2,WIDTH,HEIGHT,SPRITE,FRAMESTYLE,BUTTONSTYLE,FONTSTYLE,TEXTJUST,XTEXTOFF,YTEXTOFF,LABEL,TOOLTIP,VERBOSE,NOMOUSE,CMDSTR,ARGSTR

// root widget,,,,,,,,,,,,,,,,,,,,,,,,,,
game_root,Widget,,0,,,,,0,0,0,0,1600,1200,,,,,,0,0,,,,1,,""""""

// parent widget for most UI widgets (most everything except the 3d view),,,,,,,,,,,,,,,,,,,,,,,,,,
game_UIParent,Widget,game_root,1,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""

// DRAG SELECT (parent depends on which screen we're on),,,,,,,,,,,,,,,,,,,,,,,,,,
game_dragselect,Sprite,,1,,,,,0,0,0,0,0,0,spr_game_dragselect,wfs_game_dragselect,,,,0,0,,,,1,,""""""

// cursor text for trade-route mouse action,,,,,,,,,,,,,,,,,,,,,,,,,,
game_traderoute_cursor_text,Text,,1,,,,,0,0,0,0,100,24,,,,fs_std_small_white_outline,CenterMid,0,0,,,,1,,""""""

// game is paused text,,,,,,,,,,,,,,,,,,,,,,,,,,
game_paused_text,Unknown,,1,,,,,640,55,0,0,320,50,spr_game_paused_bkg,,,fs_std_large_bold_white,CenterMid,0,0,tx_ig_gameIsPaused,,,1,,"""horizMargin=25"""


// TOP BANNER -------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,

// banner background (does not ignore mouse for cursor reasons),,,,,,,,,,,,,,,,,,,,,,,,,,
game_top_bkg,Unknown,game_UIParent,0,,,,,499,0,0,0,602,48,,,,,,0,0,,,,0,,""""""
game_top_bkg_artParent,Widget,game_top_bkg,0,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""
game_top_bkg_UIParent,Widget,game_top_bkg,1,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""
game_top_bkg_1,MetaSprite,game_top_bkg_artParent,0,,SourceULTargetUL,,,0,0,0,0,256,48,spr_game_top_bkg_1,,,,,0,0,,,,1,,""""""
game_top_bkg_3,MetaSprite,game_top_bkg_artParent,0,,SourceURTargetUR,,,0,0,0,0,256,48,spr_game_top_bkg_3,,,,,0,0,,,,1,,""""""
game_top_bkg_2T,MetaSprite,game_top_bkg_artParent,0,game_top_bkg_1,SourceURTargetUL,game_top_bkg_3,SourceULTargetUR,0,0,0,0,-1,24,spr_game_top_bkg_2T,,,,,0,0,,,,1,,""""""
game_top_bkg_2B,MetaSprite,game_top_bkg_artParent,0,game_top_bkg_2T,SourceLLTargetUL,game_top_bkg_3,SourceLLTargetLR,0,0,0,0,-1,-1,spr_game_top_bkg_2B,,,,,0,0,,,,1,,""""""

// player info,,,,,,,,,,,,,,,,,,,,,,,,,,
game_top_playerinfo,Unknown,game_top_bkg_UIParent,0,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""
game_playerinfo_name,Text,game_top_playerinfo,0,,,,,20,13,0,0,230,22,,,,fs_std_med_white_sc_drop,CenterMid,0,0,,,,1,,"""autoTruncStd"""
game_playerinfo_civ,Text,game_top_playerinfo,0,,,,,-20,13,0,0,230,22,,,,fs_std_med_white_sc_drop,CenterMid,0,0,,,,0,,"""autoTruncStd"""
game_playerinfo_epoch,Unknown,game_top_playerinfo,0,,,,,261,5,0,0,80,34,spr_game_epochbutton,,TwoState,fs_std_huge_black,CenterMid,0,0,,,,0,UIAdvanceEpoch,"""rightMouseArg=right"""
game_playerinfo_epoch_progress,ProgressBar,game_playerinfo_epoch,0,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,spr_game_epoch_progress,,,,,0,0,,,,1,,""""""

// game clock (does not ignore mouse for cursor and tooltip reasons),,,,,,,,,,,,,,,,,,,,,,,,,,
game_top_clock,Unknown,game_bottom_bkg_UIParent,0,game_resources,SourceULTargetLL,game_resources,SourceURTargetLR,0,0,0,0,-1,32,spr_game_clock_bkg,,,fs_std_med_white,CenterMid,0,0,,,,0,,""""""

// game month widget (does not ignore mouse for cursor and tooltip reasons),,,,,,,,,,,,,,,,,,,,,,,,,,
game_calendar,Unknown,game_bottom_bkg_UIParent,0,game_top_clock,SourceULTargetUR,,,0,0,0,0,150,32,spr_game_calendar_bkg,,,,,0,0,,,,0,,""""""
game_calendar_progress,ProgressBar,game_calendar,0,,SourceULTargetUL,,SourceLRTargetLR,5,5,-5,-5,-1,-1,spr_game_calendar_progress,,,,,0,0,,,,1,,""""""
game_calendar_text,Text,game_calendar,0,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,fs_std_med_white,CenterMid,0,0,,,,1,,""""""

// handles,,,,,,,,,,,,,,,,,,,,,,,,,,
game_top_handle_left,Icon,game_top_bkg_UIParent,0,,SourceULTargetUL,,,0,13,0,0,15,29,spr_game_flyout_arrow_left,,TwoStateRollover,,,0,0,,,,0,"""UIToggleControlGroups""",""""""
game_top_handle_right,Icon,game_top_bkg_UIParent,0,,SourceURTargetUR,,,0,13,0,0,15,29,spr_game_flyout_arrow_right,,TwoStateRollover,,,0,0,,,,0,"""UIToggleButtonBar""",""""""

// button bar (inc accum depth so buttons and flyout arrows are the same depth),,,,,,,,,,,,,,,,,,,,,,,,,,
game_top_buttonbar,Unknown,game_UIParent,1,game_top_bkg,SourceURTargetUL,,,0,0,0,0,400,41,,,,,,0,0,,,,1,,""""""
game_button_options,MetaIcon,game_top_buttonbar,0,,,,,0,0,0,0,40,36,spr_optionsbut,wfs_game_simple_meta,TwoStateRollover,,,0,0,,tt_optionsbutton,vtt_optionsbutton,0,PausePanelOpenClose,"""clickFlags=5 snd=sndsty_button_buttonbar"""
game_button_pause,MetaIcon,game_top_buttonbar,0,game_button_options,SourceURTargetUL,,,-1,0,0,0,40,36,spr_pausebut,wfs_game_simple_meta,TwoStateRollover,,,0,0,,tt_pausebutton,vtt_pausebutton,0,GamePauseResume,"""clickFlags=5 snd=sndsty_button_buttonbar"""
game_button_chat,MetaIcon,game_top_buttonbar,0,game_button_pause,SourceURTargetUL,,,-1,0,0,0,40,36,spr_chatbut,wfs_game_simple_meta,TwoStateRollover,,,0,0,,tt_chatbutton,vtt_chatbutton,0,ChatOpen,"""clickFlags=5 snd=sndsty_button_buttonbar"""
game_button_encyclopedia,MetaIcon,game_top_buttonbar,0,game_button_chat,SourceURTargetUL,,,-1,0,0,0,40,36,spr_encyclopediabut,wfs_game_simple_meta,TwoStateRollover,,,0,0,,tt_encyclopediabutton,vtt_encyclopediabutton,0,EEE_Toggle,"""clickFlags=5 snd=sndsty_button_buttonbar"""
game_button_objectives,MetaIcon,game_top_buttonbar,0,game_button_encyclopedia,SourceURTargetUL,,,-1,0,0,0,40,36,spr_objectivesbut,wfs_game_simple_meta,TwoStateRollover,,,0,0,,tt_objectivesbutton,vtt_objectivesbutton,0,"LaunchFullmap ""Objectives""","""clickFlags=5 snd=sndsty_button_buttonbar"""


// control groups (inc accum depth to match button bar),,,,,,,,,,,,,,,,,,,,,,,,,,
game_ctrlgroups_bkg,Unknown,game_UIParent,1,game_top_bkg,SourceULTargetUR,,,0,0,0,0,2,2,spr_black_lowalpha,,,,,0,0,,,,1,,""""""
game_ctrlgroups_icon,MetaButton,,0,,,,,0,0,0,0,45,36,,wfs_game_simple_meta,,fs_std_small_white_outline,Left,5,2,,,,0,,""""""



// DASHBOARD (mouse ignoring for these is particular for cursor reasons),,,,,,,,,,,,,,,,,,,,,,,,,,
game_bottom_bkg,Widget,game_UIParent,0,,SourceLLTargetLL,,SourceLRTargetLR,0,0,0,0,-1,339,,,,,,0,0,,,,1,,""""""
game_bottom_bkg_viewBkgParent,Widget,game_bottom_bkg,0,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""
game_bottom_bkg_viewportParent,Widget,game_bottom_bkg,1,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""
game_bottom_bkg_artParent,Widget,game_bottom_bkg,1,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""
game_bottom_bkg_UIParent,Widget,game_bottom_bkg,1,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""
game_bottom_bkg_1_cont,Widget,game_bottom_bkg_artParent,0,,SourceLLTargetLL,,,0,0,0,0,280,339,,,,,,0,0,,,,1,,""""""
