//NAME,CLASS,PARENT,INC ACCUM DEPTH,ANCHORNAME1,ANCHORTYPE1,ANCHORNAME2,ANCHORTYPE2,XOFF,YOFF,XOFF ANCHOR2,YOFF ANCHOR2,WIDTH,HEIGHT,SPRITE,FRAMESTYLE,BUTTONSTYLE,FONTSTYLE,TEXTJUST,XTEXTOFF,YTEXTOFF,LABEL,TOOLTIP,VERBOSE,NOMOUSE,CMDSTR,ARGSTR

// basic full-screen load screen,,,,,,,,,,,,,,,,,,,,,,,,,,
// These widgets are used on ALL loading screens.,,,,,,,,,,,,,,,,,,,,,,,,,,
root_progress_full,TabMaster,,0,,,,,0,0,0,0,1600,1200,,wfs_fe_screen,,,,0,0,,,,1,,""""""
progress_full_bkg1,Sprite,,0,,SourceULTargetUL,,SourceURTargetUR,0,0,0,0,-1,800,spr_load_bkg_1A,,,,,0,0,,,,1,,""""""
progress_full_bkg2,Sprite,,0,progress_full_bkg1,SourceLLTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,spr_load_bkg_1B,,,,,0,0,,,,1,,""""""
progress_full_main_title,Text,,0,,,,,20,0,0,0,500,70,,,,fs_std_huge_white,LeftMid,0,0,,,,1,,""""""
progress_full_sub_title,Text,,0,,SourceULTargetUL,,SourceURTargetUR,0,0,0,0,-1,70,,,,fs_std_huge_white,CenterMid,0,0,,,,1,,""""""
// END widgets shared among all load screens,,,,,,,,,,,,,,,,,,,,,,,,,,


progress_ee2_icon_large,Sprite,,0,,,,,-45,110,0,0,525,296,spr_logo_ee2,,,,,0,0,,,,1,,""""""
progress_ee2_icon_small,Sprite,,0,,,,,-20,50,0,0,350,197,spr_logo_ee2,,,,,0,0,,,,1,,""""""


// editor widgets,,,,,,,,,,,,,,,,,,,,,,,,,,
progress_editor_container,Widget,,0,,SourceLLTargetLL,,,330,-50,0,0,940,64,,,,,,0,0,,,,1,,""""""
progress_editor_progressBar,ProgressBar,progress_full_container,0,,SourceULTargetUL,,SourceURTargetUR,0,0,0,0,-1,24,spr_progress1_color1,wfs_load_decor,,,,0,0,,,,1,,""""""
progress_editor_display_text,Text,progress_full_container,0,progress_full_progressBar,SourceLLTargetUL,,,0,0,0,0,465,32,,,,fs_std_small_bold_white,LeftMid,0,0,,,,1,,""""""
progress_editor_action_text,Text,progress_full_container,0,progress_full_display_text,SourceURTargetUL,,,10,0,0,0,465,32,,,,fs_std_small_bold_white,LeftMid,0,0,,,,1,,""""""

// default widgets,,,,,,,,,,,,,,,,,,,,,,,,,,
progress_def_container,Widget,,0,,SourceLLTargetLL,,,190,0,0,0,940,64,,,,,,0,0,,,,1,,""""""
progress_def_progressBar,ProgressBar,progress_full_container,0,,SourceULTargetUL,,SourceURTargetUR,0,0,0,0,-1,24,spr_progress1_color1,wfs_load_decor,,,,0,0,,,,1,,""""""
progress_def_display_text,Text,progress_full_container,0,progress_full_progressBar,SourceLLTargetUL,,,0,0,0,0,465,32,,,,fs_std_small_bold_white,LeftMid,0,0,,,,1,,""""""
progress_def_action_text,Text,progress_full_container,0,progress_full_display_text,SourceURTargetUL,,,10,0,0,0,465,32,,,,fs_std_small_bold_white,LeftMid,0,0,,,,1,,""""""

progress_full_start_butt,Button,,0,,,,,-40,-20,0,0,240,50,spr_button_glass,,TwoStateRollover,fs_std_large_bold_white,CenterMid,0,0,tx_fe_progress_start,,,0,,""""""

// panel with progress bar and start button (make sure you rename button and progress bar),,,,,,,,,,,,,,,,,,,,,,,,,,
progress_prog_panel,Widget,,0,,SourceLLTargetLL,,SourceLRTargetLR,15,-15,-15,0,-1,80,,wfs_fe_panel,,,,0,0,,,,1,,""""""
progress_prog_bkg1,Sprite,progress_prog_panel,0,,SourceULTargetUL,,SourceLLTargetLL,0,0,0,0,512,-1,spr_fe_panel_bkg_top_left,,,,,0,0,,,,1,,"""tileUV tilingScale=2.0"""
progress_prog_bkg2,Sprite,progress_prog_panel,0,progress_prog_bkg1,SourceURTargetUL,,SourceLLTargetLL,0,0,0,0,512,-1,spr_fe_panel_bkg_top_mid,,,,,0,0,,,,1,,"""tileUV tilingScale=2.0"""
progress_prog_bkg3,Sprite,progress_prog_panel,0,progress_prog_bkg2,SourceURTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,spr_fe_panel_bkg_top_right,,,,,0,0,,,,1,,"""tileUV tilingScale=2.0"""
progress_prog_start_butt,Button,progress_prog_panel,0,,SourceURTargetUR,,SourceLRTargetLR,-15,8,0,-8,256,-1,spr_fe_button_med,,TwoStateRollover,fs_std_large_black_feButton,CenterMid,0,0,tx_fe_progress_start,,,0,,""""""
progress_prog_bar_bkg,Sprite,progress_prog_panel,0,,SourceULTargetUL,progress_prog_start_butt,SourceULTargetUR,20,20,-20,0,-1,40,spr_fe_camp_timeline_bkg,,,,,0,0,,,,1,,""""""
progress_prog_bar_shadow,Sprite,progress_prog_panel,0,progress_prog_bar_bkg,SourceLLTargetUL,progress_prog_bar_bkg,SourceLRTargetUR,0,0,0,0,-1,24,spr_fe_camp_timeline_shadow,,,,,0,0,,,,1,,"""moveBehindSibling=progress_prog_bar_bkg"""
progress_prog_bar_progress,ProgressBar,progress_prog_bar_bkg,0,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,spr_fe_camp_timeline,,,,,0,0,,,,1,,""""""
progress_prog_bar_bkg_noStBut,Sprite,progress_prog_panel,0,,SourceULTargetUL,,SourceURTargetUR,20,20,-20,0,-1,40,spr_fe_camp_timeline_bkg,,,,,0,0,,,,1,,""""""
