//NAME,CLASS,PARENT,INC ACCUM DEPTH,ANCHORNAME1,ANCHORTYPE1,ANCHORNAME2,ANCHORTYPE2,XOFF,YOFF,XOFF ANCHOR2,YOFF ANCHOR2,WIDTH,HEIGHT,SPRITE,FRAMESTYLE,BUTTONSTYLE,FONTSTYLE,TEXTJUST,XTEXTOFF,YTEXTOFF,LABEL,TOOLTIP,VERBOSE,NOMOUSE,CMDSTR,ARGSTR

// ROOT,,,,,,,,,,,,,,,,,,,,,,,,,,
scenedit_root,Widget,,0,,,,,0,0,0,0,1600,1200,,,,,,0,0,,,,0,,""""""


// FIRST BATCH WIDGET,,,,,,,,,,,,,,,,,,,,,,,,,,
scenedit_first_batch_widget,Widget,,0,,,,,0,0,0,0,2,2,,,,,,0,0,,,,1,,""""""

// parent widget for scenedit UI (everything except 3d view),,,,,,,,,,,,,,,,,,,,,,,,,,
scenedit_UIParent,Widget,,1,,SourceULTargetUL,,SourceLRTargetLR,0,0,0,0,-1,-1,,,,,,0,0,,,,1,,""""""

// TITLE BAR (does not ignore mouse for cursor reasons),,,,,,,,,,,,,,,,,,,,,,,,,,
scenedit_titlebar,Sprite,scenedit_UIParent,0,,,,,0,0,0,0,1600,32,spr_titlebar_bkgnd,,,,,0,0,,,,0,,""""""
scenedit_title,Text,scenedit_titlebar,0,,,,,40,0,0,0,500,32,,,,fs_std_small_bold_white,LeftMid,0,4,tx_se_title,,,1,,""""""
scenedit_titlebar_icon,Sprite,scenedit_titlebar,0,,,,,4,0,0,0,32,32,spr_ee2logo_small,,,,,0,0,,,,1,,""""""

scenedit_title_filename,Text,scenedit_titlebar,0,,,,,0,0,0,0,1600,32,,,,fs_std_small_white,CenterMid,0,4,,,,1,,""""""
scenedit_title_xy_text,Text,scenedit_titlebar,0,,SourceURTargetUR,,,-10,0,0,0,300,32,,,,fs_std_small_white,LeftMid,0,4,tx_se_titlebar_mouse,,,1,,""""""


// LAST BATCH WIDGET,,,,,,,,,,,,,,,,,,,,,,,,,,
scenedit_last_batch_widget,Widget,,0,,,,,0,0,0,0,2,2,,,,,,0,0,,,,1,,""""""

// scenedit 3d view,,,,,,,,,,,,,,,,,,,,,,,,,,
