//NAME,FILENAME,U,V,WIDTH,HEIGHT,FLAGS

// basic cursors,,,,,,
cursor_invalid,"Cursors_01.tga",0,0,32,32,0
cursor_normal,"Cursors_01.tga",32,0,32,32,0

// basic unit actions,,,,,,
cursor_move,"Cursors_01.tga",64,0,32,32,0
cursor_move_invalid,"Cursors_01.tga",96,0,32,32,0
cursor_attack,"Cursors_01.tga",128,0,32,32,0
cursor_attack_invalid,"Cursors_01.tga",160,0,32,32,0
cursor_attackground,"Cursors_01.tga",192,0,32,32,0
cursor_attackground_invalid,"Cursors_01.tga",224,0,32,32,0
cursor_attackmove,"Cursors_01.tga",0,32,32,32,0
cursor_attackmove_invalid,"Cursors_01.tga",32,32,32,32,0
cursor_attackgroup,"Cursors_01.tga",64,32,32,32,0
cursor_attackgroup_invalid,"Cursors_01.tga",96,32,32,32,0
cursor_attacktype,"Cursors_01.tga",128,32,32,32,0
cursor_attacktype_invalid,"Cursors_01.tga",160,32,32,32,0
cursor_nuclear_blast,"Cursors_01.tga",192,32,32,32,0
cursor_nuclear_blast_invalid,"Cursors_01.tga",224,32,32,32,0
cursor_gather,"Cursors_01.tga",0,64,32,32,0
cursor_gather_food,"Cursors_01.tga",32,64,32,32,0
cursor_gather_wood,"Cursors_01.tga",64,64,32,32,0
cursor_gather_stone,"Cursors_01.tga",96,64,32,32,0
cursor_gather_gold,"Cursors_01.tga",128,64,32,32,0
cursor_gather_tin,"Cursors_01.tga",160,64,32,32,0
cursor_gather_iron,"Cursors_01.tga",192,64,32,32,0
cursor_gather_saltpeter,"Cursors_01.tga",224,64,32,32,0
cursor_gather_invalid,"Cursors_01.tga",0,96,32,32,0
cursor_resourceDropoff,"Cursors_01.tga",32,96,32,32,0
cursor_build,"Cursors_01.tga",64,96,32,32,0
cursor_repair,"Cursors_01.tga",96,96,32,32,0
cursor_buildrepair_invalid,"Cursors_01.tga",128,96,32,32,0
cursor_garrison,"Cursors_01.tga",160,96,32,32,0
cursor_garrison_invalid,"Cursors_01.tga",192,96,32,32,0
cursor_ungarrison,"Cursors_01.tga",224,96,32,32,0
cursor_ungarrison_invalid,"Cursors_01.tga",0,128,32,32,0
cursor_capture,"Cursors_01.tga",32,128,32,32,0
cursor_capture_invalid,"Cursors_01.tga",64,128,32,32,0
cursor_convert,"Cursors_01.tga",96,128,32,32,0
cursor_convert_invalid,"Cursors_01.tga",128,128,32,32,0
cursor_rallypoint,"Cursors_01.tga",160,128,32,32,0
cursor_rallypoint_invalid,"Cursors_01.tga",192,128,32,32,0
cursor_guard,"Cursors_01.tga",224,128,32,32,0
cursor_guard_invalid,"Cursors_01.tga",0,160,32,32,0
cursor_trade,"Cursors_01.tga",32,160,32,32,0
cursor_trade_invalid,"Cursors_01.tga",64,160,32,32,0

// special power actions,,,,,,
cursor_specialpower,"Cursors_01.tga",96,160,32,32,0
cursor_bless,"Cursors_01.tga",128,160,32,32,0
cursor_bless_invalid,"Cursors_01.tga",160,160,32,32,0
cursor_heal,"Cursors_01.tga",192,160,32,32,0
cursor_heal_invalid,"Cursors_01.tga",224,160,32,32,0
cursor_contaminate,"Cursors_01.tga",0,192,32,32,0
cursor_contaminate_invalid,"Cursors_01.tga",32,192,32,32,0
cursor_decontaminate,"Cursors_01.tga",64,192,32,32,0
cursor_decontaminate_invalid,"Cursors_01.tga",96,192,32,32,0
cursor_sabotage,"Cursors_01.tga",128,192,32,32,0
cursor_sabotage_invalid,"Cursors_01.tga",160,192,32,32,0
cursor_restore,"Cursors_01.tga",192,192,32,32,0
cursor_restore_invalid,"Cursors_01.tga",224,192,32,32,0
cursor_gatherintel,"Cursors_01.tga",0,224,32,32,0
cursor_gatherintel_invalid,"Cursors_01.tga",32,224,32,32,0
cursor_herc_shield,"Cursors_01.tga",64,224,32,32,0
cursor_herc_shield_invalid,"Cursors_01.tga",96,224,32,32,0
cursor_herc_EMP,"Cursors_01.tga",128,224,32,32,0
cursor_herc_EMP_invalid,"Cursors_01.tga",160,224,32,32,0

// leader powers,,,,,,
cursor_capitalism,"Cursors_02.tga",0,0,32,32,0
cursor_capitalism_invalid,"Cursors_02.tga",32,0,32,32,0
cursor_diversion,"Cursors_02.tga",64,0,32,32,0
cursor_diversion_invalid,"Cursors_02.tga",96,0,32,32,0
cursor_endeavor,"Cursors_02.tga",128,0,32,32,0
cursor_endeavor_invalid,"Cursors_02.tga",160,0,32,32,0
cursor_fasttracking,"Cursors_02.tga",192,0,32,32,0
cursor_fasttracking_invalid,"Cursors_02.tga",224,0,32,32,0
cursor_forInvest,"Cursors_02.tga",0,32,32,32,0
cursor_forInvest_invalid,"Cursors_02.tga",32,32,32,32,0
cursor_imperialism,"Cursors_02.tga",64,32,32,32,0
cursor_imperialism_invalid,"Cursors_02.tga",96,32,32,32,0
cursor_mobilization,"Cursors_02.tga",128,32,32,32,0
cursor_mobilization_invalid,"Cursors_02.tga",160,32,32,32,0
cursor_propaganda,"Cursors_02.tga",192,32,32,32,0
cursor_propaganda_invalid,"Cursors_02.tga",224,32,32,32,0

// wonder powers,,,,,,
cursor_lostcity,"Cursors_02.tga",0,64,32,32,0
cursor_lostcity_invalid,"Cursors_02.tga",32,64,32,32,0
cursor_rapiddeployment,"Cursors_02.tga",64,64,32,32,0
cursor_rapiddeployment_invalid,"Cursors_02.tga",96,64,32,32,0

// warplans cursors,,,,,,
cursor_warplans_select,"Cursors_02.tga",128,64,32,32,0
cursor_warplans_label,"Cursors_02.tga",160,64,32,32,0
cursor_warplans_target,"Cursors_02.tga",192,64,32,32,0
cursor_warplans_area,"Cursors_02.tga",224,64,32,32,0
cursor_warplans_path,"Cursors_02.tga",0,96,32,32,0

// misc cursors,,,,,,
cursor_eyedropper,"Cursors_02.tga",32,96,32,32,0
